Teff	rho0
1861.836837	0.565238
1859.709710	0.567249
1857.582583	0.569260
1855.455455	0.571271
1853.328328	0.573282
1851.201201	0.575294
1849.074074	0.577305
1846.946947	0.579316
1844.819820	0.581327
1842.692693	0.583339
1840.565566	0.585350
1838.438438	0.587361
1836.311311	0.589372
1834.184184	0.591384
1832.057057	0.593395
1829.929930	0.595406
1827.802803	0.597417
1825.675676	0.599429
1823.548549	0.601440
1821.421421	0.603451
1819.294294	0.605462
1817.167167	0.607474
1815.040040	0.609485
1812.912913	0.611496
1810.785786	0.613507
1808.658659	0.615519
1806.531532	0.617530
1804.404404	0.619541
1802.277277	0.621552
1800.150150	0.623564
1798.023023	0.625575
1795.895896	0.627586
1793.768769	0.629597
1791.641642	0.631609
1789.514515	0.633620
1787.387387	0.635631
1785.260260	0.637642
1783.133133	0.639654
1781.006006	0.641665
1778.878879	0.643676
1776.751752	0.645687
1774.624625	0.647699
1772.497497	0.649710
1770.370370	0.651721
1768.243243	0.653732
1766.116116	0.655743
1763.988989	0.657755
1761.861862	0.659766
1759.734735	0.661777
1757.607608	0.663788
1755.480480	0.665800
1753.353353	0.667811
1751.226226	0.669822
1749.099099	0.671833
1746.971972	0.673845
1744.844845	0.675856
1742.717718	0.677867
1740.590591	0.679878
1738.463463	0.681890
1736.336336	0.683901
1734.209209	0.685912
1732.082082	0.687923
1729.954955	0.689935
1727.827828	0.691946
1725.700701	0.693957
1723.573574	0.695968
1721.446446	0.697980
1719.319319	0.699991
1717.192192	0.702002
1715.065065	0.704013
1712.937938	0.706025
1710.810811	0.708036
1708.683684	0.710047
1706.556557	0.712058
1704.429429	0.714070
1702.302302	0.716081
1700.175175	0.718092
1698.048048	0.720103
1695.920921	0.722115
1693.793794	0.724126
1691.666667	0.726137
1689.539540	0.728148
1687.412412	0.730160
1685.285285	0.732171
1683.158158	0.734182
1681.031031	0.736193
1678.903904	0.738204
1676.776777	0.740216
1674.649650	0.742227
1672.522523	0.744238
1670.395395	0.746249
1668.268268	0.748261
1666.141141	0.750272
1664.014014	0.752283
1661.886887	0.754294
1659.759760	0.756306
1657.632633	0.758317
1655.505506	0.760328
1653.378378	0.762340
1651.251251	0.764351
1649.124124	0.766362
1646.996997	0.768373
1644.869870	0.770385
1642.742743	0.772396
1640.615616	0.774407
1638.488488	0.776419
1636.361361	0.778430
1634.234234	0.780441
1632.107107	0.782453
1629.979980	0.784464
1627.852853	0.786475
1625.725726	0.788487
1623.598599	0.790498
1621.471471	0.792510
1619.344344	0.794521
1617.217217	0.796533
1615.090090	0.798545
1612.962963	0.800556
1610.835836	0.802568
1608.708709	0.804580
1606.581582	0.806592
1604.454454	0.808604
1602.327327	0.810617
1600.200200	0.812629
1598.073073	0.814642
1595.945946	0.816655
1593.818819	0.818668
1591.691692	0.820681
1589.564565	0.822695
1587.437437	0.824709
1585.310310	0.826723
1583.183183	0.828738
1581.056056	0.830754
1578.928929	0.832770
1576.801802	0.834787
1574.674675	0.836804
1572.547548	0.838823
1570.420420	0.840842
1568.293293	0.842863
1566.166166	0.844885
1564.039039	0.846908
1561.911912	0.848933
1559.784785	0.850960
1557.657658	0.852988
1555.530531	0.855019
1553.403403	0.857053
1551.276276	0.859090
1549.149149	0.861129
1547.022022	0.863173
1544.894895	0.865220
1542.767768	0.867272
1540.640641	0.869328
1538.513514	0.871391
1536.386386	0.873459
1534.259259	0.875534
1532.132132	0.877617
1530.005005	0.879708
1527.877878	0.881808
1525.750751	0.883919
1523.623624	0.886040
1521.496496	0.888174
1519.369369	0.890322
1517.242242	0.892484
1515.115115	0.894663
1512.987988	0.896860
1510.860861	0.899076
1508.733734	0.901314
1506.606607	0.903576
1504.479479	0.905863
1502.352352	0.908178
1500.225225	0.910524
1498.098098	0.912903
1495.970971	0.915317
1493.843844	0.917771
1491.716717	0.920267
1489.589590	0.922809
1487.462462	0.925399
1485.335335	0.928044
1483.208208	0.930745
1481.081081	0.933509
1478.953954	0.936339
1476.826827	0.939240
1474.699700	0.942218
1472.572573	0.945278
1470.445445	0.948426
1468.318318	0.951667
1466.191191	0.955008
1464.064064	0.958456
1461.936937	0.962017
1459.809810	0.965699
1457.682683	0.969508
1455.555556	0.973452
1453.428428	0.977540
1451.301301	0.981779
1449.174174	0.986178
1447.047047	0.990744
1444.919920	0.995488
1442.792793	1.000418
1440.665666	1.005543
1438.538539	1.010872
1436.411411	1.016414
1434.284284	1.022180
1432.157157	1.028178
1430.030030	1.034418
1427.902903	1.040909
1425.775776	1.047661
1423.648649	1.054683
1421.521522	1.061985
1419.394394	1.069574
1417.267267	1.077460
1415.140140	1.085652
1413.013013	1.094156
1410.885886	1.102982
1408.758759	1.112135
1406.631632	1.121623
1404.504505	1.131451
1402.377377	1.141624
1400.250250	1.152149
1398.123123	1.163027
1395.995996	1.174262
1393.868869	1.185857
1391.741742	1.197811
1389.614615	1.210127
1387.487487	1.222801
1385.360360	1.235833
1383.233233	1.249218
1381.106106	1.262953
1378.978979	1.277031
1376.851852	1.291446
1374.724725	1.306188
1372.597598	1.321247
1370.470470	1.336613
1368.343343	1.352273
1366.216216	1.368211
1364.089089	1.384413
1361.961962	1.400861
1359.834835	1.417536
1357.707708	1.434418
1355.580581	1.451487
1353.453453	1.468717
1351.326326	1.486087
1349.199199	1.503569
1347.072072	1.521137
1344.944945	1.538763
1342.817818	1.556417
1340.690691	1.574070
1338.563564	1.591691
1336.436436	1.609246
1334.309309	1.626703
1332.182182	1.644030
1330.055055	1.661191
1327.927928	1.678153
1325.800801	1.694881
1323.673674	1.711339
1321.546547	1.727493
1319.419419	1.743309
1317.292292	1.758751
1315.165165	1.773786
1313.038038	1.788379
1310.910911	1.802499
1308.783784	1.816112
1306.656657	1.829189
1304.529530	1.841698
1302.402402	1.853611
1300.275275	1.864900
1298.148148	1.875541
1296.021021	1.885507
1293.893894	1.894778
1291.766767	1.903331
1289.639640	1.911149
1287.512513	1.918214
1285.385385	1.924512
1283.258258	1.930030
1281.131131	1.934758
1279.004004	1.938689
1276.876877	1.941815
1274.749750	1.944136
1272.622623	1.945648
1270.495495	1.946354
1268.368368	1.946258
1266.241241	1.945365
1264.114114	1.943685
1261.986987	1.941228
1259.859860	1.938007
1257.732733	1.934037
1255.605606	1.929336
1253.478478	1.923922
1251.351351	1.917817
1249.224224	1.911045
1247.097097	1.903628
1244.969970	1.895595
1242.842843	1.886972
1240.715716	1.877789
1238.588589	1.868076
1236.461461	1.857865
1234.334334	1.847187
1232.207207	1.836076
1230.080080	1.824565
1227.952953	1.812689
1225.825826	1.800483
1223.698699	1.787980
1221.571572	1.775217
1219.444444	1.762228
1217.317317	1.749047
1215.190190	1.735709
1213.063063	1.722248
1210.935936	1.708697
1208.808809	1.695089
1206.681682	1.681455
1204.554555	1.667827
1202.427427	1.654235
1200.300300	1.640707
1198.173173	1.627272
1196.046046	1.613955
1193.918919	1.600783
1191.791792	1.587779
1189.664665	1.574966
1187.537538	1.562365
1185.410410	1.549995
1183.283283	1.537877
1181.156156	1.526025
1179.029029	1.514456
1176.901902	1.503184
1174.774775	1.492220
1172.647648	1.481577
1170.520521	1.471264
1168.393393	1.461288
1166.266266	1.451657
1164.139139	1.442377
1162.012012	1.433452
1159.884885	1.424884
1157.757758	1.416676
1155.630631	1.408829
1153.503504	1.401341
1151.376376	1.394213
1149.249249	1.387441
1147.122122	1.381022
1144.994995	1.374952
1142.867868	1.369227
1140.740741	1.363841
1138.613614	1.358788
1136.486486	1.354062
1134.359359	1.349654
1132.232232	1.345558
1130.105105	1.341764
1127.977978	1.338266
1125.850851	1.335053
1123.723724	1.332118
1121.596597	1.329451
1119.469469	1.327042
1117.342342	1.324882
1115.215215	1.322962
1113.088088	1.321273
1110.960961	1.319804
1108.833834	1.318546
1106.706707	1.317490
1104.579580	1.316628
1102.452452	1.315949
1100.325325	1.315445
1098.198198	1.315107
1096.071071	1.314927
1093.943944	1.314896
1091.816817	1.315007
1089.689690	1.315251
1087.562563	1.315621
1085.435435	1.316110
1083.308308	1.316710
1081.181181	1.317415
1079.054054	1.318219
1076.926927	1.319115
1074.799800	1.320097
1072.672673	1.321160
1070.545546	1.322299
1068.418418	1.323507
1066.291291	1.324781
1064.164164	1.326116
1062.037037	1.327507
1059.909910	1.328951
1057.782783	1.330443
1055.655656	1.331979
1053.528529	1.333558
1051.401401	1.335174
1049.274274	1.336826
1047.147147	1.338510
1045.020020	1.340224
1042.892893	1.341966
1040.765766	1.343733
1038.638639	1.345522
1036.511512	1.347333
1034.384384	1.349163
1032.257257	1.351011
1030.130130	1.352874
1028.003003	1.354753
1025.875876	1.356644
1023.748749	1.358548
1021.621622	1.360462
1019.494494	1.362387
1017.367367	1.364320
1015.240240	1.366262
1013.113113	1.368211
1010.985986	1.370167
1008.858859	1.372128
1006.731732	1.374095
1004.604605	1.376067
1002.477477	1.378043
1000.350350	1.380023
998.223223	1.382007
996.096096	1.383993
993.968969	1.385983
991.841842	1.387975
989.714715	1.389969
987.587588	1.391965
985.460460	1.393963
983.333333	1.395963
981.206206	1.397964
979.079079	1.399966
976.951952	1.401969
974.824825	1.403973
972.697698	1.405978
970.570571	1.407984
968.443443	1.409991
966.316316	1.411998
964.189189	1.414006
962.062062	1.416014
959.934935	1.444392
957.807808	1.457666
955.680681	1.470875
953.553554	1.484023
951.426426	1.497108
949.299299	1.510131
947.172172	1.523094
945.045045	1.535997
942.917918	1.548841
940.790791	1.561626
938.663664	1.574353
936.536537	1.587023
934.409409	1.599636
932.282282	1.612194
930.155155	1.624696
928.028028	1.637144
925.900901	1.649538
923.773774	1.661879
921.646647	1.674167
919.519520	1.686404
917.392392	1.698589
915.265265	1.710724
913.138138	1.722810
911.011011	1.734847
908.883884	1.746835
906.756757	1.758775
904.629630	1.770669
902.502503	1.782516
900.375375	1.794318
898.248248	1.806075
896.121121	1.817788
893.993994	1.829457
891.866867	1.841084
889.739740	1.852668
887.612613	1.864211
885.485485	1.875713
883.358358	1.887176
881.231231	1.898598
879.104104	1.909982
876.976977	1.921328
874.849850	1.932637
872.722723	1.943909
870.595596	1.955146
868.468468	1.966346
866.341341	1.977513
864.214214	1.988645
862.087087	1.999745
859.959960	2.010811
857.832833	2.021846
855.705706	2.032850
853.578579	2.043824
851.451451	2.054767
849.324324	2.065682
847.197197	2.076568
845.070070	2.087427
842.942943	2.098258
840.815816	2.109063
838.688689	2.119843
836.561562	2.130598
834.434434	2.141328
832.307307	2.152035
830.180180	2.162719
828.053053	2.173380
825.925926	2.184021
823.798799	2.194640
821.671672	2.205239
819.544545	2.215819
817.417417	2.226380
815.290290	2.236923
813.163163	2.247449
811.036036	2.257958
808.908909	2.268451
806.781782	2.278928
804.654655	2.289391
802.527528	2.299840
800.400400	2.310276
798.273273	2.320699
796.146146	2.331110
794.019019	2.341510
791.891892	2.351900
