name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_7.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	7.0	chemeq	2.661002329523503e-09	Y2	-17.54287320411694	-17.590684539789468	-22.10965372056946	-20.19402261595524	-20.515678564431543	-21.146152316738313	-22.142603682345765	-23.240137512055398	-26.30484042002921	-26.275064693016198	-25.45862340697095
spectra_logzz_9.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	9.0	chemeq	2.661002329523503e-09	Y2	-17.774572283263772	-18.65248524930489	-22.761116301852272	-20.5274536572364	-20.818625183433916	-21.518413745068145	-22.513700199461415	-23.891142110202537	-26.405712899871112	-26.0403603431899	-25.147633124020043
spectra_logzz_4.0_teff_300.0_grav_31.0_mh_1.0_co_1.0.nc	3.4913616938342726	300.0	1.0	1.0	4.0	chemeq	2.661002329523503e-09	Y2	-17.44866891880352	-17.44311196144502	-21.89209669454094	-20.101754336709767	-20.361729157539894	-20.855166550867892	-21.861973163679217	-23.340124696934772	-26.68773666971171	-26.83226819393172	-26.42895908397319
spectra_logzz_9.0_teff_300.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	300.0	1.0	0.5	9.0	chemeq	2.095381911134037e-09	Y2	-19.388197339592033	-22.012975023173	-24.531200329204903	-23.146418342148962	-22.144991600315922	-21.694145103244026	-22.716722109588975	-25.983580853393953	-28.20720199674471	-27.785966068639127	-26.153778935436883
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_1.0_co_1.0.nc	3.7481880270062002	325.0	1.0	1.0	2.0	chemeq	2.643945744647225e-09	Y2	-18.1259902531993	-19.03221368046023	-23.213537156839905	-21.57599976940986	-21.8221611706273	-21.87903175853714	-22.87075221197128	-24.209869455175507	-27.480830832936398	-27.727678782187418	-27.63853313646615
spectra_logzz_9.0_teff_275.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	275.0	1.0	0.5	9.0	chemeq	2.0795943327408637e-09	Y2	-19.29261915385304	-21.38103142848623	-23.426897869131018	-21.98940054006049	-20.811268818445285	-20.607928778519497	-21.650343938176746	-25.168443944935845	-27.625228649542198	-27.30391898267784	-25.714679121358408
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_1.0_co_1.5.nc	5.4996870826184034	300.0	1.0	1.5	2.0	chemeq	1.5955613579662438e-09	Y2	-20.074748368656298	-21.980129760207145	-24.412123360595775	-22.887662396849045	-21.553815744679397	-20.865132690412633	-21.845286673001596	-24.49256252509658	-27.954840655179254	-28.31010733421004	-28.192723327023117
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_1.0_co_0.5.nc	4.0	275.0	1.0	0.5	8.0	chemeq	2.485616083158149e-09	Y2	-18.231456452961144	-19.394008226584667	-22.190538297492306	-20.525365045676388	-19.985115292716934	-20.238208151846912	-21.297069825377985	-24.327210020384886	-26.93509743830792	-26.73033294654348	-25.51745023378519
spectra_logzz_7.0_teff_300.0_grav_178.0_mh_1.0_co_1.5.nc	4.250420002308894	300.0	1.0	1.5	7.0	chemeq	2.4021498885254974e-09	Y2	-18.83507742957769	-19.841856311557372	-23.59476888316047	-21.769766811940634	-21.481861195827094	-21.424169462194797	-22.423424031614203	-23.986501503933916	-26.981774196282327	-26.866840236007448	-25.78342071864708
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_1.0_co_2.5.nc	4.250420002308894	275.0	1.0	2.5	9.0	chemeq	2.3728283295377162e-09	Y2	-18.55303095320321	-18.92922287427852	-22.641432448197836	-20.42771196692508	-20.196509710597955	-20.414436295725444	-21.410721439409464	-22.740702739025807	-25.764653395651337	-25.702158582103962	-24.9325948757177
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_1.0_co_1.0.nc	5.0	275.0	1.0	1.0	7.0	chemeq	1.919473023357895e-09	Y2	-19.598390548018074	-21.095938732119247	-23.678152281398653	-22.189192667159887	-20.939306555781336	-20.53730297666778	-21.552014222701484	-24.36945441868873	-27.477524298275483	-27.376941373318253	-26.20988799987862
spectra_logzz_2.0_teff_275.0_grav_316.0_mh_1.0_co_1.5.nc	4.4996870826184034	275.0	1.0	1.5	2.0	chemeq	2.23300211297923e-09	Y2	-18.712020168840883	-18.9378147472554	-22.021017501576324	-20.268221874013783	-19.69081169627937	-19.536990418303642	-20.556921763333346	-22.86801295942597	-26.701829344721045	-27.228581905891826	-27.29536973289908
spectra_logzz_8.0_teff_300.0_grav_100.0_mh_1.0_co_0.5.nc	4.0	300.0	1.0	0.5	8.0	chemeq	2.521704863514142e-09	Y2	-18.492450181649243	-20.40989219975149	-23.318342668361243	-21.659553738375827	-21.309575871595406	-21.37446599936997	-22.412932389720673	-25.131785446550563	-27.52452319249833	-27.21285040348917	-25.94448082336609
