name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_-0.5_co_1.0.nc	4.250420002308894	300.0	-0.5	1.0	2.0	chemeq	2.4066619011877596e-09	Y2	7.281101743289677e+18	4.4895271402064993e+18	4.667824093102979e+18	3.622880238192699e+18	6.485689851075049e+18	8.800768619729095e+18	nan	5.915097766490298e+17	nan	nan	6957195386219242.0	621892117263687.1	1.0690822212516465e+18	4.760302594503175e+16	4.719512332558173e+16	5.990603939813751e+17	1.5977959121305303e+18	4.913015665407697e+18
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_-0.5_co_1.5.nc	4.749736315569061	325.0	-0.5	1.5	2.0	chemeq	2.126959626925858e-09	Y2	2.0261328260565918e+19	1.2636246057798947e+19	1.3526178256579922e+19	1.1042135230347522e+19	1.9224905814382862e+19	2.3710011857045893e+19	nan	1.1753541140939448e+18	nan	nan	9246872183353900.0	1090782713505062.9	2.130363110900461e+18	5.8911354932650584e+16	5.8972732341715464e+16	8.381769469945423e+17	2.71139392750549e+18	1.0334963134040097e+19
spectra_logzz_8.0_teff_300.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	300.0	-0.5	1.5	8.0	chemeq	2.6266262404550096e-09	Y2	4.274413340912777e+18	3.0265532640218885e+18	4.61401597746647e+18	5.03787377372964e+18	8.4764373327125e+18	9.051899641602876e+18	nan	2.570561285393806e+17	nan	nan	2901921536915449.5	216889607766434.72	4.63981705445553e+17	2.1717056636443576e+16	2.116232677844226e+16	3.6926239508130643e+17	7.378032847827828e+17	2.0786492785329428e+18
spectra_logzz_4.0_teff_275.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	275.0	-0.5	1.0	4.0	chemeq	2.4901271696465478e-09	Y2	2.293542822328525e+18	1.3837318743216338e+18	1.4119559750086134e+18	1.0563115568701943e+18	2.158056203962751e+18	3.189237591832272e+18	nan	2.4517050943058838e+17	nan	nan	4172407332124258.0	365496028070220.6	4.422867352408419e+17	2.850764823245449e+16	2.8444376414044104e+16	2.999492943109283e+17	7.119677491438276e+17	1.9271386686793797e+18
spectra_logzz_7.0_teff_275.0_grav_1780.0_mh_-0.5_co_0.5.nc	5.250420002308894	275.0	-0.5	0.5	7.0	chemeq	1.779616451292318e-09	Y2	8.066157445298026e+18	4.5650392414902784e+18	3.0660132000959555e+18	6.919394163643128e+17	1.9044361081364754e+18	3.614177171019746e+18	nan	5.709598666989103e+17	nan	nan	8878769581981042.0	1039371400697374.2	1.0348377593610467e+18	5.313141196661939e+16	5.367185601938494e+16	3.6222714768275245e+17	1.2242191849457528e+18	4.76698003669844e+18
spectra_logzz_9.0_teff_300.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	300.0	-0.5	1.0	9.0	chemeq	2.514938161502595e-09	Y2	7.541515139346559e+18	4.81104734535695e+18	5.598855639044234e+18	4.950306454550923e+18	8.701172045320944e+18	1.0933828428857252e+19	nan	4.990014152561069e+17	nan	nan	4648141258739545.0	411863311029448.2	9.024848402392739e+17	3.2074339742728776e+16	3.1776570164593412e+16	4.7286598859330816e+17	1.3117329737016983e+18	4.2722716206119496e+18
spectra_logzz_2.0_teff_325.0_grav_316.0_mh_-0.5_co_2.5.nc	4.4996870826184034	325.0	-0.5	2.5	2.0	chemeq	2.2848798353694526e-09	Y2	1.676574180221069e+19	1.0990067989339634e+19	1.348542858336834e+19	1.2610095809068018e+19	2.059731703352998e+19	2.19761882898313e+19	nan	1.0609422599247768e+18	nan	nan	1.1337499573006168e+16	1058045948132773.4	1.9193206120422656e+18	7.669799196270107e+16	7.588510088581728e+16	1.0882693512574118e+18	2.7436108418228705e+18	8.933845796028831e+18
spectra_logzz_8.0_teff_275.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	275.0	-0.5	1.5	8.0	chemeq	2.5926414736205174e-09	Y2	1.205401079813887e+18	8.228502104730284e+17	1.2238385224815444e+18	1.3119290036203018e+18	2.4787158466586173e+18	3.0224757054073155e+18	nan	1.0842878251800046e+17	nan	nan	1973716686372550.2	187819060754381.72	1.9533712577200042e+17	1.3216036822636704e+16	1.3209944279622822e+16	1.8583348944761754e+17	3.3077623220682854e+17	7.948722621874035e+17
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_-0.5_co_2.5.nc	5.4996870826184034	300.0	-0.5	2.5	2.0	chemeq	1.6352672628061667e-09	Y2	1.635022569413396e+19	9.36593371744232e+18	6.901049599849112e+18	2.545167979723661e+18	6.950728803119779e+18	1.0309824851258057e+19	nan	1.1370862715764872e+18	nan	nan	1.3962684602604014e+16	1665860426516106.2	2.0613933851402022e+18	8.223837598953739e+16	8.31782786167552e+16	7.648407213027192e+17	2.510750158758422e+18	9.616470908900352e+18
spectra_logzz_8.0_teff_325.0_grav_1000.0_mh_-0.5_co_1.0.nc	5.0	325.0	-0.5	1.0	8.0	chemeq	1.9578173624816837e-09	Y2	2.718100936310651e+19	1.6288609780454363e+19	1.5018234978067954e+19	9.92048693525937e+18	1.8381991767518538e+19	2.532059263903162e+19	nan	1.6766374002881805e+18	nan	nan	1.3019393447727996e+16	1325373546982944.8	3.040243977175628e+18	8.36319587028071e+16	8.382037441211947e+16	1.0343788061849454e+18	3.75906208845035e+18	1.4788144300624992e+19
