name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_4.0_teff_325.0_grav_3160.0_mh_0.5_co_1.5.nc	5.4996870826184034	325.0	0.5	1.5	4.0	chemeq	1.5989433905410841e-09	Y2	-19.370692223666797	-22.829406181438756	-24.479932105179962	-24.861058035277072	-24.202096143514755	-20.340185692743752	-24.326877615305698	-22.199754478912602
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	300.0	0.5	0.5	2.0	chemeq	2.095381911134037e-09	Y2	-18.314554989752963	-21.209038036571002	-21.965448237762608	-22.220428899942924	-21.912286416153663	-18.634060518039565	-21.82342748346349	-19.765579385992048
spectra_logzz_7.0_teff_325.0_grav_1780.0_mh_0.5_co_1.0.nc	5.250420002308894	325.0	0.5	1.0	7.0	chemeq	1.7615710277900978e-09	Y2	-19.31110982915437	-22.693378966246605	-24.479214177652267	-24.95560164200211	-24.318040949826774	-20.791897502946004	-24.39888002279674	-22.436132721618378
spectra_logzz_7.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	7.0	chemeq	2.7392460358194033e-09	Y2	-16.33662496029398	-18.924271655615307	-21.204442960232168	-21.72434898972409	-20.940656389802754	-17.699868002268964	-21.124847809066896	-20.122743826523887
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	9.0	chemeq	2.7392460358194033e-09	Y2	-16.49074468323284	-19.329604448923273	-21.63299407902399	-22.128274697527765	-21.27340890893612	-18.232680440506748	-21.519646345622284	-20.483997783760966
spectra_logzz_7.0_teff_275.0_grav_3160.0_mh_0.5_co_0.5.nc	5.4996870826184034	275.0	0.5	0.5	7.0	chemeq	1.5907086956077193e-09	Y2	-19.2285971273554	-22.225784892066997	-22.506932592527694	-22.435619749899196	-22.57213087534103	-19.738018232005075	-22.28855370612614	-19.345665954260724
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	275.0	0.5	0.5	4.0	chemeq	2.3728283295377162e-09	Y2	-17.503846429223568	-20.115378482431677	-20.58603315366758	-20.993550625219235	-20.631932994699675	-16.814720614037547	-20.536055696305684	-18.632642149593305
spectra_logzz_2.0_teff_275.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	275.0	0.5	0.5	2.0	chemeq	2.0795943327408637e-09	Y2	-17.95930782732029	-20.634559232883184	-20.63781695048977	-20.92138292753736	-20.831661172122757	-17.367322409149075	-20.58764254675679	-18.23252193896745
spectra_logzz_8.0_teff_300.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	300.0	0.5	1.0	8.0	chemeq	2.7392460358194033e-09	Y2	-16.545262958504047	-18.742625652111496	-21.43962652551654	-22.008131149533508	-20.989137786505662	-17.86905283012445	-21.34379229115873	-20.403551810612875
spectra_logzz_7.0_teff_300.0_grav_3160.0_mh_0.5_co_2.5.nc	5.4996870826184034	300.0	0.5	2.5	7.0	chemeq	1.5955613579662438e-09	Y2	-19.33212626091928	-22.385699344235462	-23.868722395785653	-24.247236243354873	-23.624439017336652	-19.076284875613034	-23.723584775784232	-21.483768868696913
spectra_logzz_4.0_teff_300.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	300.0	0.5	0.5	4.0	chemeq	2.4021498885254974e-09	Y2	-17.685380088722916	-20.670019121532803	-21.964743203773665	-22.305310508680474	-21.782078656649453	-18.19081269675677	-21.821089140759028	-20.142624329179494
spectra_logzz_9.0_teff_275.0_grav_316.0_mh_0.5_co_1.5.nc	4.4996870826184034	275.0	0.5	1.5	9.0	chemeq	2.23300211297923e-09	Y2	-18.15619068891555	-20.546825402146972	-21.99175269877456	-22.446154718189536	-21.747720536394795	-17.250963902184647	-21.881807258577556	-19.927302936001183
spectra_logzz_7.0_teff_300.0_grav_316.0_mh_0.5_co_2.5.nc	4.4996870826184034	300.0	0.5	2.5	7.0	chemeq	2.255558041837094e-09	Y2	-18.29217111960541	-20.72471343872135	-23.00635756801049	-23.55660501121123	-22.72118081842745	-18.67660330595577	-22.93325228621239	-21.39804488438344
spectra_logzz_4.0_teff_325.0_grav_56.0_mh_0.5_co_0.5.nc	3.7481880270062002	325.0	0.5	0.5	4.0	chemeq	2.643945744647225e-09	Y2	-17.376034227066533	-20.426053502920606	-22.429713732483847	-22.821337680618967	-22.072760775642095	-18.78154763018524	-22.26698816482031	-21.196318939239152
spectra_logzz_7.0_teff_275.0_grav_100.0_mh_0.5_co_1.0.nc	4.0	275.0	0.5	1.0	7.0	chemeq	2.485616083158149e-09	Y2	-17.296654432877595	-19.53881289357052	-21.24053360526635	-21.734550852803242	-20.995610771126525	-16.875284501050977	-21.149753381458265	-19.547974064016508
spectra_logzz_2.0_teff_275.0_grav_178.0_mh_0.5_co_2.5.nc	4.250420002308894	275.0	0.5	2.5	2.0	chemeq	2.3728283295377162e-09	Y2	-17.521535997198825	-18.85989034527371	-20.2459325234506	-20.80669076017351	-19.944511680577875	-15.352216503783836	-20.172814535818254	-18.530209498580582
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_0.5_co_2.5.nc	4.749736315569061	300.0	0.5	2.5	4.0	chemeq	2.095381911134037e-09	Y2	-18.680215424635456	-21.055527870272737	-22.86156091978895	-23.35565646682815	-22.525368641682885	-18.255303303105542	-22.748874553555837	-21.092336383878752
spectra_logzz_7.0_teff_275.0_grav_316.0_mh_0.5_co_2.5.nc	4.4996870826184034	275.0	0.5	2.5	7.0	chemeq	2.23300211297923e-09	Y2	-18.141521749703934	-20.077419408478193	-21.817848702304897	-22.33685865913746	-21.531185142879906	-17.071672303283666	-21.728278116209943	-19.92331162621272
spectra_logzz_9.0_teff_300.0_grav_316.0_mh_0.5_co_1.5.nc	4.4996870826184034	300.0	0.5	1.5	9.0	chemeq	2.255558041837094e-09	Y2	-18.305509371141795	-21.167655902115577	-23.172760979894754	-23.650620967388825	-22.865806376637387	-18.86593743700408	-23.059474252160378	-21.405978658312968
spectra_logzz_2.0_teff_300.0_grav_31.0_mh_0.5_co_0.5.nc	3.4913616938342726	300.0	0.5	0.5	2.0	chemeq	2.661002329523503e-09	Y2	-16.636749180875146	-19.097784242535067	-20.56747029665594	-21.031439497872565	-20.19455121545741	-16.870457042342085	-20.4347279663928	-19.45272116098944
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_0.5_co_2.5.nc	4.250420002308894	300.0	0.5	2.5	2.0	chemeq	2.4021498885254974e-09	Y2	-17.70315882441323	-19.594185325346245	-21.71982763495935	-22.24628795714776	-21.339872761438357	-17.27890556593228	-21.61382734189926	-20.233972599697147
spectra_logzz_7.0_teff_300.0_grav_100.0_mh_0.5_co_1.0.nc	4.0	300.0	0.5	1.0	7.0	chemeq	2.521704863514142e-09	Y2	-17.80682444293476	-20.389035536575133	-22.472586356286094	-22.9726695121377	-22.194936527909718	-18.419167471971868	-22.377817989720384	-21.016209687491855
spectra_logzz_4.0_teff_275.0_grav_562.0_mh_0.5_co_2.5.nc	4.749736315569061	275.0	0.5	2.5	4.0	chemeq	2.0795943327408637e-09	Y2	-18.420129733796358	-20.295712183028865	-21.552288151594986	-22.070949834551698	-21.38384611460846	-16.49920582723022	-21.490539324549026	-19.44692307028828
spectra_logzz_8.0_teff_325.0_grav_56.0_mh_0.5_co_1.5.nc	3.7481880270062002	325.0	0.5	1.5	8.0	chemeq	2.643945744647225e-09	Y2	-17.598021268642	-20.463270249095615	-23.227967785305285	-23.824357781988706	-22.860104186331668	-19.76653666198882	-23.163809277241413	-22.250644857623676
spectra_logzz_8.0_teff_300.0_grav_1780.0_mh_0.5_co_1.5.nc	5.250420002308894	300.0	0.5	1.5	8.0	chemeq	1.7548045679055585e-09	Y2	-18.982719442808943	-22.15879821147596	-23.76021134194751	-24.15717910472186	-23.581850128529524	-19.284533403348977	-23.640144170529627	-21.45875647768684
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	325.0	0.5	0.5	4.0	chemeq	2.4292162322183615e-09	Y2	-17.929585667652045	-21.180646699142457	-23.087091220255374	-23.506839615929316	-22.92397905211389	-19.573673189404335	-22.983636374205354	-21.58636994419097
spectra_logzz_8.0_teff_300.0_grav_1000.0_mh_0.5_co_2.5.nc	5.0	300.0	0.5	2.5	8.0	chemeq	1.9262397143133415e-09	Y2	-19.134442939891052	-21.762613569179962	-23.541610733733307	-24.064927325549398	-23.290851890275984	-18.9142673982452	-23.46225490230577	-21.604475076993936
spectra_logzz_8.0_teff_275.0_grav_1000.0_mh_0.5_co_0.5.nc	5.0	275.0	0.5	0.5	8.0	chemeq	1.919473023357895e-09	Y2	-18.408501856155212	-21.53675430984008	-22.349112077830647	-22.533319398893347	-22.411389829445564	-19.163470987704336	-22.21658462300295	-19.75260758887134
spectra_logzz_4.0_teff_275.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	275.0	0.5	1.0	4.0	chemeq	2.6824274957415417e-09	Y2	-15.856136059736848	-17.041870761563935	-18.9907791623427	-19.679464963523664	-18.737989652074784	-15.045359396310857	-18.99533603314204	-17.91933740234943
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	325.0	0.5	0.5	2.0	chemeq	2.108914163948451e-09	Y2	-18.672337192817626	-21.8917267146463	-23.137967228120864	-23.422893923494385	-22.947241571454533	-19.770599484886134	-22.967895535851664	-21.15179819070758
