name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_9.0_teff_300.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	300.0	0.7	1.0	9.0	chemeq	2.4021498885254974e-09	Y2	2.802357274019532e+17	2.0465698082968758e+18	3.957563126405365e+19	1.03782299487683e+19	3.152033268229415e+18	5.080275436052333e+18	1.2836741035913986e+19	1.0057478264538523e+20	1.2748063988021317e+21	1.0148089265142332e+21	2.9203713335714896e+20
spectra_logzz_2.0_teff_275.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	275.0	0.7	1.5	2.0	chemeq	2.485616083158149e-09	Y2	1.2892870725297728e+17	1.7562905319903843e+17	2.944655745682306e+18	7.192098920898872e+17	2.657825865759232e+17	6.072363665926689e+17	1.5585457512215565e+18	1.3510956372465398e+19	4.4663098666488916e+20	9.240644292035598e+20	1.1952271998745798e+21
spectra_logzz_2.0_teff_325.0_grav_1780.0_mh_0.7_co_1.5.nc	5.250420002308894	325.0	0.7	1.5	2.0	chemeq	1.7615710277900978e-09	Y2	8.677623005602312e+17	8.751689864471291e+18	9.71009023273462e+19	2.852830816151897e+19	5.616025234558232e+18	5.642355421054452e+18	1.3831213787721032e+19	1.2698692825091436e+20	2.407496036693164e+21	3.3403942343838154e+21	3.2134278499830564e+21
spectra_logzz_2.0_teff_275.0_grav_56.0_mh_0.7_co_1.0.nc	3.7481880270062002	275.0	0.7	1.0	2.0	chemeq	2.5626563753470635e-09	Y2	1.0270410503771595e+17	1.2831902886432408e+17	1.9480313561365827e+18	4.702152562063564e+17	1.9647978101184874e+17	5.702932400391631e+17	1.4830597588233856e+18	1.5883859141596717e+19	4.366439790021821e+20	9.070805694278473e+20	1.1791123914378596e+21
spectra_logzz_8.0_teff_275.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	275.0	0.7	0.5	8.0	chemeq	2.23300211297923e-09	Y2	3.0058672884335635e+17	2.530926665607988e+18	1.635990277818657e+19	6.008211735389956e+18	9.54687554889409e+17	1.8424867689628042e+18	4.836065551706691e+18	1.1402711289858543e+20	1.4714025175537444e+21	1.2377373033494162e+21	4.2533172573634324e+20
spectra_logzz_7.0_teff_300.0_grav_1000.0_mh_0.7_co_0.5.nc	5.0	300.0	0.7	0.5	7.0	chemeq	1.9262397143133415e-09	Y2	7.011798313599173e+17	9.810334202880965e+18	6.8009594548845855e+19	2.5226157974293955e+19	3.761476207645014e+18	4.671230637034102e+18	1.1816546129772933e+19	2.8109723370050568e+20	3.0279119883051745e+21	2.376870540577586e+21	8.551570774962318e+20
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_0.7_co_2.5.nc	5.0	275.0	0.7	2.5	7.0	chemeq	1.919473023357895e-09	Y2	5.335420860296731e+17	1.9760682429798364e+18	2.7765329539219116e+19	7.983971710090515e+18	1.3487183875677763e+18	2.004576861973472e+18	5.014717722628726e+18	2.94737626924989e+19	8.984386758657691e+20	9.375927661792292e+20	4.234035042835179e+20
spectra_logzz_2.0_teff_300.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	300.0	0.7	1.5	2.0	chemeq	2.521704863514142e-09	Y2	1.9835213321327853e+17	4.4806319032212915e+17	1.038637325989848e+19	2.5632150911151473e+18	1.1210077633162072e+18	2.0763668499166907e+18	5.234490936873537e+18	2.798808048456065e+19	7.545822141599391e+20	1.3800464691284775e+21	1.7161468724018414e+21
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	275.0	0.7	1.0	9.0	chemeq	2.3728283295377162e-09	Y2	2.0100727046946154e+17	9.519558518858039e+17	1.314253108293358e+19	3.6742207368921047e+18	8.639447056834779e+17	1.7532404729033667e+18	4.523538033519489e+18	4.972584977512468e+19	7.52461510430418e+20	6.725300193777089e+20	2.2936541857836728e+20
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_0.7_co_1.5.nc	5.0	325.0	0.7	1.5	9.0	chemeq	1.9352618988991165e-09	Y2	8.15447818863489e+17	1.3412034306698666e+19	1.9266514070747126e+20	5.232303303925531e+19	1.306231327802011e+19	1.2734993902526857e+19	3.10871909958733e+19	2.0104154304174142e+20	2.411299984452629e+21	1.7980167886462931e+21	4.387558447871877e+20
