name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_4.0_teff_325.0_grav_3160.0_mh_0.5_co_1.5.nc	5.4996870826184034	325.0	0.5	1.5	4.0	chemeq	1.5989433905410841e-09	Y2	7.2277519485228384e+19	5.863391377945066e+19	8.74012347210784e+19	9.433734796495538e+19	1.0786278077848456e+20	6.47080983019925e+19	nan	3.167091093485003e+18	nan	nan	6.4991206812073624e+16	8636897306078437.0	5.718115313045475e+18	3.7681995642671955e+17	3.867247548177949e+17	4.074633514651019e+18	8.486612708565893e+18	2.648976530933037e+19
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	300.0	0.5	0.5	2.0	chemeq	2.095381911134037e-09	Y2	7.024028632892035e+18	5.779321686300852e+18	8.075546969653812e+18	8.259484378100209e+18	9.744024618840246e+18	7.677043268552131e+18	nan	7.233527070609702e+17	nan	nan	2.6844312899856344e+16	3774865465798055.0	1.2997986054702756e+18	1.4146404731688069e+17	1.4892549624907997e+17	1.2755748850436695e+18	2.2930519400297247e+18	5.064512772297951e+18
spectra_logzz_7.0_teff_325.0_grav_1780.0_mh_0.5_co_1.0.nc	5.250420002308894	325.0	0.5	1.0	7.0	chemeq	1.7615710277900978e-09	Y2	7.1672480667694375e+19	5.828404215040824e+19	9.196213956242883e+19	1.0273295170127823e+20	1.1714980489897961e+20	7.155192897381002e+19	nan	2.9174076110584335e+18	nan	nan	6.1849174549660776e+16	9386175927508064.0	5.267534029104035e+18	3.320929354826903e+17	3.4198320521965734e+17	3.794634496976093e+18	7.700448802501978e+18	2.4392502131242193e+19
spectra_logzz_7.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	7.0	chemeq	2.7392460358194033e-09	Y2	3.346138652055248e+18	2.8442271626907356e+18	4.630687282956571e+18	5.215862447172604e+18	5.871728311584169e+18	3.2183572029705324e+18	nan	1.0656941753805392e+17	nan	nan	3954239344337790.0	544228835784755.8	1.9163251479311142e+17	2.339664590943972e+16	2.514400115768389e+16	2.1762366031915082e+17	3.0460926828004954e+17	7.838511401124205e+17
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	9.0	chemeq	2.7392460358194033e-09	Y2	5.077176216497857e+18	4.2174014491292564e+18	6.767607248112848e+18	7.567600216615589e+18	8.314391065771946e+18	4.3503745409805737e+18	nan	1.5076212878425174e+17	nan	nan	4437928893798447.0	632446334857145.9	2.713910218860744e+17	2.58878330911036e+16	2.762921978757922e+16	2.7379408374093293e+17	4.254329641200455e+17	1.1965069576365734e+18
spectra_logzz_7.0_teff_275.0_grav_3160.0_mh_0.5_co_0.5.nc	5.4996870826184034	275.0	0.5	0.5	7.0	chemeq	1.5907086956077193e-09	Y2	1.3552493752680868e+19	9.632478873985538e+18	1.1361095644294736e+19	1.0102970781760475e+19	1.3184200203369273e+19	1.3787633488052492e+19	nan	1.7753311485322025e+18	nan	nan	6.0719094260941224e+16	7539437597407696.0	3.1931497772266353e+18	3.4330359098778406e+17	3.557249231671115e+17	2.770337361961541e+18	5.511431020863376e+18	1.2822600393543221e+19
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	275.0	0.5	0.5	4.0	chemeq	2.3728283295377162e-09	Y2	1.899180060753222e+18	1.6181667659169288e+18	2.4645243141167503e+18	2.662617849106194e+18	3.168703277251235e+18	2.3933946975610045e+18	nan	2.727029524602823e+17	nan	nan	1.321838481520725e+16	1434656063453749.2	4.8913968399363936e+17	7.619484081950162e+16	8.184676279618882e+16	5.228062370816253e+17	8.85572955010262e+17	1.7741206810421033e+18
spectra_logzz_2.0_teff_275.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	275.0	0.5	0.5	2.0	chemeq	2.0795943327408637e-09	Y2	2.1000591101477678e+18	1.7132763590573704e+18	2.427148410387784e+18	2.496124009068856e+18	3.0964977154698004e+18	2.841842704300883e+18	nan	4.291200361494324e+17	nan	nan	1.9964339587533044e+16	3215190613985946.5	7.698219494720488e+17	1.0646653654903445e+17	1.1299673726138315e+17	8.21294778995153e+17	1.4073488114909097e+18	2.7651979823941053e+18
spectra_logzz_8.0_teff_300.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	300.0	0.5	1.0	8.0	chemeq	2.7392460358194033e-09	Y2	4.0426042926124815e+18	3.535324990455529e+18	5.924378401995795e+18	6.775030818868922e+18	7.38455849292154e+18	3.3951072856685706e+18	nan	1.025283788048969e+17	nan	nan	4683105341190982.0	663488234667676.1	1.843430210620685e+17	2.7232597768756356e+16	2.896264098621047e+16	2.4742178335440384e+17	2.7583029901589155e+17	7.058548527886204e+17
spectra_logzz_7.0_teff_300.0_grav_3160.0_mh_0.5_co_2.5.nc	5.4996870826184034	300.0	0.5	2.5	7.0	chemeq	1.5955613579662438e-09	Y2	4.091223132473246e+19	3.366717165347888e+19	4.994719790836882e+19	5.360049768076823e+19	6.3389980137230156e+19	3.837554643951635e+19	nan	2.121715970602909e+18	nan	nan	6.363995251608901e+16	7933273680213165.0	3.8225550388638935e+18	3.69793955620587e+17	3.802448389123866e+17	3.586686037815549e+18	6.101756202666375e+18	1.6085889804582488e+19
spectra_logzz_4.0_teff_300.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	300.0	0.5	0.5	4.0	chemeq	2.4021498885254974e-09	Y2	6.880821551719731e+18	5.742603286032872e+18	8.428190307620335e+18	8.916979440694775e+18	1.0311939252261753e+19	6.907559117184513e+18	nan	4.483461951302616e+17	nan	nan	1.4563191267036548e+16	1603310651545663.0	8.060389078198191e+17	8.64014472861305e+16	9.11280105337868e+16	7.503117672811156e+17	1.394838289172737e+18	3.362667906824386e+18
