name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_4.0_teff_300.0_grav_1780.0_mh_-1.0_co_0.5.nc	5.250420002308894	300.0	-1.0	0.5	4.0	chemeq	1.786382866538159e-09	Y2	6.3227456191034904e+16	4.396566294280269e+18	8.635194298000584e+18	9.557496132517192e+17	4.176643911306869e+18	3.845460917946311e+17	3.6798454329557576e+18	2464544804064102.5
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_-1.0_co_2.5.nc	4.250420002308894	325.0	-1.0	2.5	8.0	chemeq	2.4247059500110064e-09	Y2	6.597867675981427e+16	5.220106852720644e+18	9.40808507024115e+18	5.273198059710839e+18	1.3387159782877413e+19	7.416375488017313e+17	7.652520319386458e+18	7.574826490488768e+16
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	325.0	-1.0	0.5	9.0	chemeq	1.9578173624816837e-09	Y2	8.471281108942747e+16	5.819954033236094e+18	1.0610942364611004e+19	2.5597072027465953e+18	9.318546230790955e+18	1.1672535741719616e+18	6.06715722889987e+18	1.3490599826940316e+16
spectra_logzz_7.0_teff_325.0_grav_3160.0_mh_-1.0_co_2.5.nc	5.4996870826184034	325.0	-1.0	2.5	7.0	chemeq	1.6371145985624411e-09	Y2	1.0396768934485093e+17	1.1307124481964394e+19	1.9139135161458606e+19	3.818750576461032e+18	1.3837090011869053e+19	9.12031530906817e+17	9.806616660733678e+18	2.0028625462410236e+16
spectra_logzz_8.0_teff_300.0_grav_316.0_mh_-1.0_co_1.0.nc	4.4996870826184034	300.0	-1.0	1.0	8.0	chemeq	2.2713463694327747e-09	Y2	4.409232922245499e+16	3.247178614486173e+18	6.125088438914206e+18	1.349283297319036e+18	4.973215442797981e+18	4.437546727111306e+17	3.3717580767864545e+18	8574843173589368.0
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_-1.0_co_1.0.nc	4.250420002308894	325.0	-1.0	1.0	4.0	chemeq	2.4247059500110064e-09	Y2	5.958090887042674e+16	4.5557867739490964e+18	8.678015284979618e+18	3.978606357232921e+18	1.1148077390398243e+19	1.128267678642583e+18	6.48437009725247e+18	4.525116516347111e+16
spectra_logzz_7.0_teff_325.0_grav_316.0_mh_-1.0_co_1.5.nc	4.4996870826184034	325.0	-1.0	1.5	7.0	chemeq	2.2848798353694526e-09	Y2	5.212820524975687e+16	5.315693761795909e+18	1.0404595988077302e+19	4.2337498859836867e+18	1.237597853036452e+19	1.0385357550819817e+18	7.334618044493658e+18	4.270130702506368e+16
spectra_logzz_9.0_teff_325.0_grav_56.0_mh_-1.0_co_1.0.nc	3.7481880270062002	325.0	-1.0	1.0	9.0	chemeq	2.612266159347838e-09	Y2	2.88626055926496e+16	3.388055191590775e+18	7.587160023170878e+18	4.751845044090496e+18	1.2031407174438072e+19	1.1040929820934845e+18	6.672989966188226e+18	7.998786734104616e+16
spectra_logzz_2.0_teff_300.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	300.0	-1.0	1.0	2.0	chemeq	2.686000108339325e-09	Y2	1.7513271536730682e+16	1.217255767908947e+18	1.8755501894364303e+18	1.2871509071517862e+18	3.536172731432272e+18	2.8651195097242e+17	1.845027476805693e+18	2.5076541718708044e+16
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	300.0	-1.0	1.5	4.0	chemeq	2.1156823557096483e-09	Y2	6.423348421597272e+16	4.267618419638496e+18	7.407710689403803e+18	1.4585777947359122e+18	5.57810371539073e+18	4.15317973458672e+17	3.899427068895836e+18	8202130645724511.0
