name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_4.0_teff_300.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	300.0	0.0	0.5	4.0	chemeq	2.605493798780066e-09	Y2	-16.865008897264698	-20.216312630624138	-21.19110602638922	-21.591006492981702	-21.624821426021427	-18.545900294972633	-21.274711601634394	-18.766886214295546
spectra_logzz_2.0_teff_325.0_grav_31.0_mh_0.0_co_0.5.nc	3.4913616938342726	325.0	0.0	0.5	2.0	chemeq	2.6925057269529045e-09	Y2	-16.692942734249247	-20.298216328296675	-21.53198993521753	-21.97531040967	-21.766626488948784	-18.806498445759296	-21.561151457444485	-19.468275971443454
spectra_logzz_8.0_teff_325.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	325.0	0.0	0.5	8.0	chemeq	2.1337262005208867e-09	Y2	-18.31014414972246	-22.12957055337964	-23.417458355910917	-23.663027568737206	-23.822322070855318	-21.376396136569465	-23.431822610894994	-20.435551626785994
spectra_logzz_8.0_teff_300.0_grav_56.0_mh_0.0_co_1.5.nc	3.7481880270062002	300.0	0.0	1.5	8.0	chemeq	2.605493798780066e-09	Y2	-17.218463882666065	-20.286471338683015	-22.000116641499915	-22.612160750066472	-22.27224052124265	-18.24945616843409	-22.11004088336421	-19.837534135126045
spectra_logzz_8.0_teff_275.0_grav_17.0_mh_0.0_co_2.5.nc	3.230448921378274	275.0	0.0	2.5	8.0	chemeq	2.6773843630334625e-09	Y2	-15.994626669313604	-17.968333133216582	-19.960049082204343	-20.74785953231025	-20.300332225608567	-16.16777841871911	-20.171433166289482	-18.039933038310995
spectra_logzz_7.0_teff_325.0_grav_1000.0_mh_0.0_co_0.5.nc	5.0	325.0	0.0	0.5	7.0	chemeq	1.9668395497994175e-09	Y2	-18.29654011216953	-22.30175679002085	-23.46306867440314	-23.545791027941277	-23.818593626979844	-21.492363156177657	-23.40405682254894	-20.096009748903864
spectra_logzz_9.0_teff_325.0_grav_100.0_mh_0.0_co_0.5.nc	4.0	325.0	0.0	0.5	9.0	chemeq	2.557793661879611e-09	Y2	-17.641130290142673	-21.492920459616517	-23.205612780645282	-23.684730518623052	-23.578519022408614	-20.733969509550136	-23.294874077592112	-20.895713355874108
spectra_logzz_7.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	7.0	chemeq	2.768386230752026e-09	Y2	-16.561046553900688	-20.349026740585433	-22.493233451236236	-23.11417633737714	-22.8163699421006	-19.779371381419217	-22.62667420390257	-20.773686603872505
spectra_logzz_2.0_teff_300.0_grav_1780.0_mh_0.0_co_1.5.nc	5.250420002308894	300.0	0.0	1.5	2.0	chemeq	1.786382300597677e-09	Y2	-18.5579435313971	-22.11535728102231	-22.65059104175591	-22.492827314673278	-22.786936520922765	-19.27951716621247	-22.432801687575765	-18.714792543821403
spectra_logzz_9.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	9.0	chemeq	2.768386230752026e-09	Y2	-16.584383306297944	-20.425367336359265	-22.595173890687217	-23.21710721320993	-22.919900455307555	-19.94409237111821	-22.72959537282991	-20.853359764085617
