name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_-0.5_co_1.0.nc	4.250420002308894	300.0	-0.5	1.0	2.0	chemeq	2.4066619011877596e-09	Y2	-17.24509272264694	-21.17596631841198	-21.658004277402434	-21.326329796774626	-22.0717252416963	-19.200714860252923	-21.516719233809884	-17.263422207201216
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_-0.5_co_1.5.nc	4.749736315569061	325.0	-0.5	1.5	2.0	chemeq	2.126959626925858e-09	Y2	-17.502031589048787	-21.949015552722553	-22.80609346391509	-22.537921666845953	-23.141635792159718	-20.200246031825746	-22.641283965501227	-18.393514375687346
spectra_logzz_8.0_teff_300.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	300.0	-0.5	1.5	8.0	chemeq	2.6266262404550096e-09	Y2	-16.474413563999953	-20.228939925023173	-21.240114143613653	-21.682755625738544	-22.065399610733902	-18.2918647008475	-21.50595454454136	-18.17527651174216
spectra_logzz_4.0_teff_275.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	275.0	-0.5	1.0	4.0	chemeq	2.4901271696465478e-09	Y2	-16.665418233905626	-20.195956991503174	-20.351488022378042	-19.988750339566167	-20.95738914383678	-17.726306113160213	-20.298539370068774	-15.750663241187581
spectra_logzz_7.0_teff_275.0_grav_1780.0_mh_-0.5_co_0.5.nc	5.250420002308894	275.0	-0.5	0.5	7.0	chemeq	1.779616451292318e-09	Y2	-17.419220598295418	-21.11559678592626	-21.70077641300717	-19.554815287490545	-21.155896324997997	-18.90848952958886	-20.88955988997537	-13.959146568943986
spectra_logzz_9.0_teff_300.0_grav_100.0_mh_-0.5_co_1.0.nc	4.0	300.0	-0.5	1.0	9.0	chemeq	2.514938161502595e-09	Y2	-16.835218772731654	-20.971546600767837	-21.746746982196576	-21.664655003921748	-22.295969666407924	-19.21886633433128	-21.72976418175948	-17.791711418615265
spectra_logzz_2.0_teff_325.0_grav_316.0_mh_-0.5_co_2.5.nc	4.4996870826184034	325.0	-0.5	2.5	2.0	chemeq	2.2848798353694526e-09	Y2	-17.783290523414664	-21.853251992744134	-22.63760021691369	-22.67818192486785	-23.034056206333105	-19.483221212463206	-22.584422348500603	-18.84369742382312
spectra_logzz_8.0_teff_275.0_grav_31.0_mh_-0.5_co_1.5.nc	3.4913616938342726	275.0	-0.5	1.5	8.0	chemeq	2.5926414736205174e-09	Y2	-15.955248054477465	-19.276269563606874	-19.79946121616554	-20.222795271402003	-20.874665977174754	-16.79175235709595	-20.18372249632693	-16.368448316236567
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_-0.5_co_2.5.nc	5.4996870826184034	300.0	-0.5	2.5	2.0	chemeq	1.6352672628061667e-09	Y2	-17.911400588705902	-21.97674283648461	-22.469272146151035	-20.978328575798294	-22.22169028754721	-18.923129946529173	-21.832854995299975	-16.49267501007693
spectra_logzz_8.0_teff_325.0_grav_1000.0_mh_-0.5_co_1.0.nc	5.0	325.0	-0.5	1.0	8.0	chemeq	1.9578173624816837e-09	Y2	-17.852576725337816	-22.347212915124302	-23.083315884242214	-22.427055696898325	-23.24176268822996	-20.757886700477563	-22.75292897260685	-17.996773142694643
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_-0.5_co_2.5.nc	4.0	275.0	-0.5	2.5	8.0	chemeq	2.4901271696465478e-09	Y2	-16.709102881419525	-20.04916983610394	-20.334141978026164	-20.529717588100276	-21.265661111463825	-16.790720075940307	-20.57918403376603	-16.419733176615665
spectra_logzz_2.0_teff_275.0_grav_1000.0_mh_-0.5_co_2.5.nc	5.0	275.0	-0.5	2.5	2.0	chemeq	1.942028479063045e-09	Y2	-17.7242029027347	-21.061787177938385	-21.336463117920868	-20.123966194096003	-21.377150429528193	-17.43139558755536	-20.86074159630581	-15.168251184530682
