name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_4.0_teff_325.0_grav_3160.0_mh_0.5_co_1.5.nc	5.4996870826184034	325.0	0.5	1.5	4.0	chemeq	1.5989433905410841e-09	Y2	5.6011459521452666e+17	1.3544484251779949e+19	6.194023405064688e+19	8.798795299151584e+19	4.795550374949301e+19	1.367962767355588e+18	5.379613145196194e+19	7.584060547892105e+18
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	300.0	0.5	0.5	2.0	chemeq	2.095381911134037e-09	Y2	2.117493061361042e+17	3.0451957473767567e+18	6.111942996485247e+18	7.729858785207999e+18	5.819887188569418e+18	2.842000874430931e+17	5.362545540566823e+18	8.058083333872108e+17
spectra_logzz_7.0_teff_325.0_grav_1780.0_mh_0.5_co_1.0.nc	5.250420002308894	325.0	0.5	1.0	7.0	chemeq	1.7615710277900978e-09	Y2	5.302051376032436e+17	1.1949550982498576e+19	6.189929049545407e+19	9.599324141633705e+19	5.336006868483468e+19	2.0737624252474404e+18	5.748466557271466e+19	9.428727593127363e+18
spectra_logzz_7.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	7.0	chemeq	2.7392460358194033e-09	Y2	3.4249164710379256e+16	3.71286075710038e+17	3.032335037702476e+18	4.894852347296777e+18	2.3782776573326807e+18	1.2021182789209634e+17	2.8179878976777257e+18	1.1196893066925295e+18
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	9.0	chemeq	2.7392460358194033e-09	Y2	3.94727944702495e+16	5.3931410595965504e+17	4.499845799103516e+18	7.100842485444749e+18	3.231197942158521e+18	1.9636865984247798e+17	4.0537647158758006e+18	1.5617054054597228e+18
spectra_logzz_7.0_teff_275.0_grav_3160.0_mh_0.5_co_0.5.nc	5.4996870826184034	275.0	0.5	0.5	7.0	chemeq	1.5907086956077193e-09	Y2	4.91404185172045e+17	7.768084781074203e+18	1.0064055822344714e+19	9.424273907062086e+18	1.0686914875960535e+19	7.85610524355668e+17	8.23041023134725e+18	5.473515871029986e+17
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	275.0	0.5	0.5	4.0	chemeq	2.3728283295377162e-09	Y2	1.0035489749878197e+17	1.1121193391835958e+18	1.715589033565608e+18	2.497009818743319e+18	1.7896709879550162e+18	5.319713526666612e+16	1.638408824885498e+18	2.8382906062181997e+17
spectra_logzz_2.0_teff_275.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	275.0	0.5	0.5	2.0	chemeq	2.0795943327408637e-09	Y2	1.5265925229315536e+17	1.7940051819169503e+18	1.7993961221204526e+18	2.3364321359326607e+18	2.1511191615057362e+18	8.84970845772226e+16	1.7181339468690778e+18	1.9633999499465213e+17
spectra_logzz_8.0_teff_300.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	300.0	0.5	1.0	8.0	chemeq	2.7392460358194033e-09	Y2	4.150545540739328e+16	3.1408721655757754e+17	3.765742416737977e+18	6.357003635714729e+18	2.486881631636484e+18	1.4048214573179006e+17	3.44760035265455e+18	1.4501760362112302e+18
spectra_logzz_7.0_teff_300.0_grav_3160.0_mh_0.5_co_2.5.nc	5.4996870826184034	300.0	0.5	2.5	7.0	chemeq	1.5955613579662438e-09	Y2	5.4056821305774234e+17	9.000771524089661e+18	3.527678175873544e+19	4.999130769170183e+19	2.816927093675917e+19	4.2708463787370976e+17	3.086269950253709e+19	3.9219996220365097e+18
