name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_4.0_teff_300.0_grav_1780.0_mh_-1.0_co_0.5.nc	5.250420002308894	300.0	-1.0	0.5	4.0	chemeq	1.786382866538159e-09	Y2	-17.432195243094267	-22.58608596367128	-19.85401830781236	-21.652605546337696	-16.88587444522555	-22.607940587455932	-23.75262763562237	-27.757986311751672	-29.112597017734792	-29.032909275563778	-28.717389816394757
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_-1.0_co_2.5.nc	4.250420002308894	325.0	-1.0	2.5	8.0	chemeq	2.4247059500110064e-09	Y2	-17.45956546793388	-22.4973974220125	-21.937101065698855	-22.947152196464955	-18.613415205342648	-23.123304999081135	-24.14040452863784	-26.482991211764165	-29.042571104762537	-29.35360343630445	-29.378074135794442
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	325.0	-1.0	0.5	9.0	chemeq	1.9578173624816837e-09	Y2	-17.731032793837628	-22.79136604886759	-20.851647933436357	-22.499815364430045	-18.176363785374303	-22.95890726002642	-24.101716564241094	-28.073582429008905	-29.48374032642493	-29.419107152510385	-29.100824485176783
spectra_logzz_7.0_teff_325.0_grav_3160.0_mh_-1.0_co_2.5.nc	5.4996870826184034	325.0	-1.0	2.5	7.0	chemeq	1.6371145985624411e-09	Y2	-17.98831764861604	-23.43711584876943	-21.219593349500443	-22.973595495396037	-18.27877971016567	-23.591761995317835	-24.62169663708905	-27.297298978032423	-29.32925105833572	-29.438676772967295	-29.287132303043336
spectra_logzz_8.0_teff_300.0_grav_316.0_mh_-1.0_co_1.0.nc	4.4996870826184034	300.0	-1.0	1.0	8.0	chemeq	2.2713463694327747e-09	Y2	-17.035531802939733	-22.19749666995218	-20.381300314666017	-21.845365035097448	-17.42285269534743	-22.296094816311474	-23.393428078270283	-26.921329623250088	-28.933380589176547	-29.07053579641475	-28.93462220341571
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_-1.0_co_1.0.nc	4.250420002308894	325.0	-1.0	1.0	4.0	chemeq	2.4247059500110064e-09	Y2	-17.3614044495075	-22.459054297934355	-21.54550587615597	-22.716217215915314	-18.589516880709596	-22.90650438064017	-23.985677428687044	-27.213370445855894	-29.234934010265455	-29.401812422273284	-29.3205923212664
spectra_logzz_7.0_teff_325.0_grav_316.0_mh_-1.0_co_1.5.nc	4.4996870826184034	325.0	-1.0	1.5	7.0	chemeq	2.2848798353694526e-09	Y2	-17.262413164111628	-22.65864937640162	-21.571280424035635	-22.841653016290262	-18.564120761535438	-23.082037763179045	-24.135747883030685	-27.065375296252025	-29.248463038348007	-29.44275688617107	-29.356610014520605
spectra_logzz_9.0_teff_325.0_grav_56.0_mh_-1.0_co_1.0.nc	3.7481880270062002	325.0	-1.0	1.0	9.0	chemeq	2.612266159347838e-09	Y2	-16.609859101409036	-22.170380970374616	-21.846031946151413	-22.805991723431248	-18.78963344509829	-22.97403138080043	-24.02717721890027	-26.970932851045795	-29.16583818791146	-29.317512066316283	-29.23830209586737
spectra_logzz_2.0_teff_300.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	300.0	-1.0	1.0	2.0	chemeq	2.686000108339325e-09	Y2	-16.07141245930528	-20.83797342313838	-20.511426098664998	-21.487686323218554	-17.540617294767095	-22.011772803621128	-23.07298477002964	-26.13721262170998	-28.51796617824896	-28.96951747321919	-29.108577898388287
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	300.0	-1.0	1.5	4.0	chemeq	2.1156823557096483e-09	Y2	-17.41885367895581	-22.43359485802234	-20.427857739051042	-21.980375711850392	-17.425526119377906	-22.510636451659607	-23.5784686050028	-26.773051931563373	-28.941725495820634	-29.122081940587414	-29.0012435148934
