name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_4.0_teff_300.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	300.0	0.0	0.5	4.0	chemeq	2.605493798780066e-09	Y2	5.571903149115717e+16	1.2204642211149985e+18	2.9953143736396887e+18	4.329149634378915e+18	4.4661013093031414e+18	2.6203549119754397e+17	3.2350771387283256e+18	3.211844313437645e+17
spectra_logzz_2.0_teff_325.0_grav_31.0_mh_0.0_co_0.5.nc	3.4913616938342726	325.0	0.0	0.5	2.0	chemeq	2.6925057269529045e-09	Y2	4.755290944871899e+16	1.3160928548482693e+18	4.100114396799873e+18	6.167713102620179e+18	5.08921262148787e+18	3.331189802051758e+17	4.211730589111852e+18	6.127881925971561e+17
spectra_logzz_8.0_teff_325.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	325.0	0.0	0.5	8.0	chemeq	2.1337262005208867e-09	Y2	2.1089081243321645e+17	7.109322594751535e+18	2.328001963985742e+19	2.9188449618241196e+19	3.3800943908615324e+19	3.5526993344441165e+18	2.359005993847071e+19	1.4935530419262776e+18
spectra_logzz_8.0_teff_300.0_grav_56.0_mh_0.0_co_1.5.nc	3.7481880270062002	300.0	0.0	1.5	8.0	chemeq	2.605493798780066e-09	Y2	7.715881569456573e+16	1.3019327011279263e+18	6.310251323683486e+18	1.1088282958230657e+19	8.107672704276098e+18	1.9942631635022083e+17	6.982586964924105e+18	8.610208219204534e+17
spectra_logzz_8.0_teff_275.0_grav_17.0_mh_0.0_co_2.5.nc	3.230448921378274	275.0	0.0	2.5	8.0	chemeq	2.6773843630334625e-09	Y2	2.4994857650652104e+16	1.5393353870758022e+17	9.6387259583072e+17	1.9913326426885225e+18	1.31866017509823e+18	2.931644919713469e+16	1.171044143599328e+18	1.6442703113691507e+17
spectra_logzz_7.0_teff_325.0_grav_1000.0_mh_0.0_co_0.5.nc	5.0	325.0	0.0	0.5	7.0	chemeq	1.9668395497994175e-09	Y2	2.082648821272319e+17	8.331107070426441e+18	2.4278814098750423e+19	2.620091216250641e+19	3.368506973683834e+19	3.9531679206213504e+18	2.2994434263974306e+19	1.0924558624229146e+18
spectra_logzz_9.0_teff_325.0_grav_100.0_mh_0.0_co_0.5.nc	4.0	325.0	0.0	0.5	9.0	chemeq	2.557793661879611e-09	Y2	1.1388122131024312e+17	3.9551975845377167e+18	1.915336620367967e+19	2.977777248859063e+19	2.7002725960214393e+19	1.966019421887389e+18	2.0794555003148083e+19	2.2818408061420687e+18
spectra_logzz_7.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	7.0	chemeq	2.768386230752026e-09	Y2	4.211323672479116e+16	1.3791474356128282e+18	9.937871582869545e+18	1.7606398807196211e+19	1.3382830481298588e+19	8.161097240641984e+17	1.1237499400203842e+19	2.0392695831990956e+18
spectra_logzz_2.0_teff_300.0_grav_1780.0_mh_0.0_co_1.5.nc	5.250420002308894	300.0	0.0	1.5	2.0	chemeq	1.786382300597677e-09	Y2	2.649582291831093e+17	7.016861628827316e+18	1.1487788115471696e+19	9.93415486218273e+18	1.302490631984203e+19	5.149995700696775e+17	9.399844626175492e+18	3.0613784273634886e+17
spectra_logzz_9.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	9.0	chemeq	2.768386230752026e-09	Y2	4.302821425813198e+16	1.479608898522865e+18	1.0916151547043875e+19	1.935721551268651e+19	1.4721775210475956e+19	9.498104608964362e+17	1.2354869120631028e+19	2.1945420438443036e+18
spectra_logzz_4.0_teff_275.0_grav_1000.0_mh_0.0_co_1.5.nc	5.0	275.0	0.0	1.5	4.0	chemeq	1.9510506952646416e-09	Y2	1.699915292657134e+17	2.9381516680029307e+18	3.624836766185717e+18	3.3692367568731904e+18	5.229856028530198e+18	1.3043383642614832e+17	3.345798431700209e+18	9.189887140788312e+16
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_0.0_co_2.5.nc	4.250420002308894	325.0	0.0	2.5	8.0	chemeq	2.4382388999730725e-09	Y2	1.3102185901620067e+17	3.5316687257389507e+18	2.399547674233013e+19	4.569470883838118e+19	2.978246522357398e+19	7.789138136083542e+17	2.7216812524626354e+19	3.661906875913036e+18
spectra_logzz_9.0_teff_300.0_grav_1000.0_mh_0.0_co_1.5.nc	5.0	300.0	0.0	1.5	9.0	chemeq	1.9578173284523617e-09	Y2	1.9675613761769795e+17	5.936598267419411e+18	1.5311389695483075e+19	1.7756294096101247e+19	1.83484083521511e+19	6.003788543443843e+17	1.4032306480049744e+19	6.883807778118149e+17
spectra_logzz_8.0_teff_325.0_grav_17.0_mh_0.0_co_1.0.nc	3.230448921378274	325.0	0.0	1.0	8.0	chemeq	2.768386230752026e-09	Y2	4.770618410631671e+16	1.1235915541618746e+18	1.0281414696850078e+19	2.0032186834653983e+19	1.2590924981461934e+19	5.7645013651697536e+17	1.1774510107114609e+19	2.4237709962404925e+18
spectra_logzz_9.0_teff_300.0_grav_1780.0_mh_0.0_co_2.5.nc	5.250420002308894	300.0	0.0	2.5	9.0	chemeq	1.786382300597677e-09	Y2	2.7254822258395568e+17	7.898952118788206e+18	1.7713433967164033e+19	1.9863382842925363e+19	2.036090414749644e+19	4.543300834343486e+17	1.58033962402586e+19	7.370895729330829e+17
spectra_logzz_8.0_teff_275.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	275.0	0.0	0.5	8.0	chemeq	2.5738817756807663e-09	Y2	4.461061703128711e+16	8.898585040881838e+17	1.7979775579489172e+18	2.5927974990334623e+18	3.1480435249354957e+18	1.450528082096447e+17	2.0701188533601585e+18	1.4445989493224934e+17
spectra_logzz_4.0_teff_300.0_grav_1780.0_mh_0.0_co_0.5.nc	5.250420002308894	300.0	0.0	0.5	4.0	chemeq	1.786382300597677e-09	Y2	2.5642164960465456e+17	7.41205609235427e+18	1.1443971318997283e+19	7.454424480255896e+18	1.3826381924419232e+19	1.6386749664835092e+18	8.945536144691244e+18	1.9711493822962723e+17
spectra_logzz_2.0_teff_275.0_grav_1000.0_mh_0.0_co_0.5.nc	5.0	275.0	0.0	0.5	2.0	chemeq	1.9510506952646416e-09	Y2	1.6865783643674922e+17	3.5209581587661573e+18	3.8538095788044186e+18	2.338173696428147e+18	4.973782684996666e+18	4.850600366000271e+17	3.05995967381463e+18	6.114913724314046e+16
spectra_logzz_8.0_teff_300.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	300.0	0.0	0.5	8.0	chemeq	2.122449120988498e-09	Y2	1.3857947733014374e+17	4.283818271328428e+18	1.0321648457659466e+19	1.0602696982362356e+19	1.5364750788457834e+19	1.4479089680795535e+18	9.94138214124231e+18	4.295628152239528e+17
spectra_logzz_2.0_teff_300.0_grav_1000.0_mh_0.0_co_2.5.nc	5.0	300.0	0.0	2.5	2.0	chemeq	1.9578173284523617e-09	Y2	1.8589183872047203e+17	4.0375833951006976e+18	8.435783714917257e+18	1.0600076479217912e+19	1.0950877014132842e+19	1.718877250332751e+17	8.191239719987525e+18	3.95898982794795e+17
spectra_logzz_9.0_teff_325.0_grav_3160.0_mh_0.0_co_1.0.nc	5.4996870826184034	325.0	0.0	1.0	9.0	chemeq	1.629333637009788e-09	Y2	4.056730593530553e+17	1.5505184638443313e+19	3.378957697987754e+19	3.162802486234728e+19	3.6360125039779828e+19	3.627268512367112e+18	2.7708284015424094e+19	1.1129929796344123e+18
spectra_logzz_7.0_teff_275.0_grav_56.0_mh_0.0_co_1.0.nc	3.7481880270062002	275.0	0.0	1.0	7.0	chemeq	2.5738817756807663e-09	Y2	4.71491714117036e+16	6.628367981903818e+17	1.6082378777903084e+18	2.6803362753661983e+18	2.6009354194658796e+18	5.928029913262853e+16	1.8885342584864335e+18	1.572872304121946e+17
spectra_logzz_4.0_teff_275.0_grav_56.0_mh_0.0_co_1.5.nc	3.7481880270062002	275.0	0.0	1.5	4.0	chemeq	2.5738817756807663e-09	Y2	4.0855086418243304e+16	4.0552865501753626e+17	8.896966548650753e+17	1.6139398452854275e+18	1.4051440025929413e+18	2.3517548800290132e+16	1.070810372813435e+18	9.435524419411221e+16
spectra_logzz_4.0_teff_300.0_grav_17.0_mh_0.0_co_2.5.nc	3.230448921378274	300.0	0.0	2.5	4.0	chemeq	2.722926711101284e-09	Y2	2.841348137397642e+16	2.2908419456611862e+17	1.70804832042802e+18	3.342630830416533e+18	1.954511793695031e+18	6.2883775117627e+16	1.9197321187591677e+18	3.713663786140412e+17
spectra_logzz_4.0_teff_275.0_grav_1780.0_mh_0.0_co_2.5.nc	5.250420002308894	275.0	0.0	2.5	4.0	chemeq	1.7796156779131804e-09	Y2	2.3311161178426195e+17	3.2331980241737815e+18	3.965339223170803e+18	3.703650590176468e+18	5.955064348335976e+18	7.356983500492667e+16	3.727409713486517e+18	8.408345120005552e+16
