name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_4.0_teff_325.0_grav_3160.0_mh_0.5_co_1.5.nc	5.4996870826184034	325.0	0.5	1.5	4.0	chemeq	1.5989433905410841e-09	Y2	-24.647508098641612	-24.42037221013748	-24.853793919937363	-24.936709157716365	-25.082179031285506	-24.527396591462225	nan	-21.251651387375887	nan	nan	-17.032136503479308	-14.8408943895152	-21.893132273022918	-18.940334737534698	-18.968504931971342	-21.525221382553582	-22.32183595837831	-23.55769527651749
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	300.0	0.5	0.5	2.0	chemeq	2.095381911134037e-09	Y2	-22.116465683171107	-21.904692171663946	-22.267929868640223	-22.292382340233317	-22.471845931400615	-22.212984970847746	nan	-19.648375277742666	nan	nan	-16.072130730878534	-13.94225369554038	-20.2846901667121	-17.876615197957253	-17.932422639820075	-20.26426489943937	-20.901034730166344	-21.76134417681699
spectra_logzz_7.0_teff_325.0_grav_1780.0_mh_0.5_co_1.0.nc	5.250420002308894	325.0	0.5	1.0	7.0	chemeq	1.7615710277900978e-09	Y2	-24.63838109041366	-24.41387415899498	-24.909022667186534	-25.029274415874802	-25.17185392415134	-24.636553366077678	nan	-21.162492779066152	nan	nan	-16.978334769576563	-14.931221725114675	-21.804018374750825	-18.803149092688244	-18.83501194599176	-21.44792487640815	-22.216290094350022	-23.468140879018836
spectra_logzz_7.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	7.0	chemeq	2.7392460358194033e-09	Y2	-21.31135983153524	-21.13491069916969	-21.66411363361622	-21.793315324130592	-21.921914880762223	-21.26908561111492	nan	-17.569081480299634	nan	nan	-13.992657382461374	-11.83945387250693	-18.20617299720584	-15.922884005979512	-16.001085970013442	-18.344265276593873	-18.709357783462345	-19.73558398590096
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	9.0	chemeq	2.7392460358194033e-09	Y2	-21.764055592441267	-21.562612357317448	-22.076087867199654	-22.19739545241145	-22.29957611901841	-21.596316621742247	nan	-17.94573065281296	nan	nan	-14.11795084879678	-12.002559200255213	-18.58398869075374	-16.03273924969077	-16.103421552977743	-18.593560148698483	-19.072077844034247	-20.194788070901396
spectra_logzz_7.0_teff_275.0_grav_3160.0_mh_0.5_co_0.5.nc	5.4996870826184034	275.0	0.5	0.5	7.0	chemeq	1.5907086956077193e-09	Y2	-22.83004803938779	-22.4593451629716	-22.638550539997006	-22.511122742480353	-22.80013447301822	-22.848724325469025	nan	-20.623198432303916	nan	nan	-16.958313211549545	-14.693347377455588	-21.260548224862134	-18.839195865526378	-18.877785735601215	-21.106331647856905	-21.853160940765804	-22.76994027006414
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	275.0	0.5	0.5	4.0	chemeq	2.3728283295377162e-09	Y2	-20.6964153550816	-20.522558193353383	-20.979332767765356	-21.06327209753374	-21.252203932556196	-20.947535811345407	nan	-18.589224599807025	nan	nan	-15.302945977378997	-12.891869495449818	-19.223582246607062	-17.204813915242834	-17.282503767172138	-19.295851900188133	-19.868060862299867	-20.622457896304144
spectra_logzz_2.0_teff_275.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	275.0	0.5	0.5	2.0	chemeq	2.0795943327408637e-09	Y2	-20.80557879737017	-20.584568555594082	-20.962740831272654	-20.993165393948722	-21.22717690983118	-21.134000090255316	nan	-19.081446981892093	nan	nan	-15.750637371195168	-13.768016813405907	-19.715975724283716	-17.568032815779862	-17.63266475893345	-19.7862476550203	-20.371004376726802	-21.104315578327025
spectra_logzz_8.0_teff_300.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	300.0	0.5	1.0	8.0	chemeq	2.7392460358194033e-09	Y2	-21.51665308203475	-21.37107335797302	-21.931606974998644	-22.077278187771736	-22.170811337197186	-21.32713375643648	nan	-17.527110225736237	nan	nan	-14.176334817145474	-12.05458306531007	-18.16406675136192	-16.08772267871018	-16.154595402224615	-18.483594832151006	-18.601604925562803	-19.621788512141773
spectra_logzz_7.0_teff_300.0_grav_3160.0_mh_0.5_co_2.5.nc	5.4996870826184034	300.0	0.5	2.5	7.0	chemeq	1.5955613579662438e-09	Y2	-24.02963291566066	-23.81801658315308	-24.24627782214233	-24.322922055342374	-24.505051539222784	-23.96013643140705	nan	-20.816718113550507	nan	nan	-17.009324617332325	-14.748631091834248	-21.45588436824085	-18.919899520559238	-18.950158320145384	-21.38673340543965	-21.96363712824635	-23.016112723171425
