name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_4.0_teff_300.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	300.0	0.0	0.5	4.0	chemeq	2.605493798780066e-09	Y2	-21.410397058545662	-21.136785847054814	-21.581603840827327	-21.663406737560795	-21.974720104408476	-21.92469555931337	nan	-18.599935382633287	nan	nan	-14.329976315436888	-11.860036317509959	-19.238404628603746	-16.30977289380924	-16.337716040480068	-19.094643924955598	-19.826328979524764	-20.813917140774397
spectra_logzz_2.0_teff_325.0_grav_31.0_mh_0.0_co_0.5.nc	3.4913616938342726	325.0	0.0	0.5	2.0	chemeq	2.6925057269529045e-09	Y2	-21.702610144257644	-21.47578151094103	-21.948367651743567	-22.04765724318552	-22.287141259282237	-22.068834642608607	nan	-18.665574065055825	nan	nan	-14.071729598098052	-11.34569760459594	-19.304562701945173	-16.18538920721911	-16.194410933784404	-19.090474456111984	-19.890771146539258	-20.942936669890745
spectra_logzz_8.0_teff_325.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	325.0	0.0	0.5	8.0	chemeq	2.1337262005208867e-09	Y2	-23.70975915127717	-23.355910955123306	-23.70352119929435	-23.738246918253516	-24.048797307169366	-24.083601051123477	nan	-20.51307030562582	nan	nan	-15.835308544575561	-13.532010182730751	-21.156025856034567	-17.74836260162	-17.764942046441973	-20.55721001129573	-21.5421701483364	-22.84025854498921
spectra_logzz_8.0_teff_300.0_grav_56.0_mh_0.0_co_1.5.nc	3.7481880270062002	300.0	0.0	1.5	8.0	chemeq	2.605493798780066e-09	Y2	-22.15938400968571	-21.943271478550134	-22.52347381996831	-22.684427808517654	-22.969869445995798	-22.607611727906963	nan	-18.752340237940523	nan	nan	-14.59082453364909	-11.919673519209084	-19.39107129252588	-16.69032773425138	-16.692685202438295	-19.48018103215827	-19.927876725473567	-20.944841446608997
spectra_logzz_8.0_teff_275.0_grav_17.0_mh_0.0_co_2.5.nc	3.230448921378274	275.0	0.0	2.5	8.0	chemeq	2.6773843630334625e-09	Y2	-20.048947997457788	-19.89895524925404	-20.602868826132088	-20.817938206774155	-21.09427757804741	-20.64189176258073	nan	-16.685703136795787	nan	nan	-13.432855878556559	-10.686039555554444	-17.32043019537721	-15.53780813815866	-15.566386913199487	-17.87408136468062	-17.856919363643797	-18.4892517950043
spectra_logzz_7.0_teff_325.0_grav_1000.0_mh_0.0_co_0.5.nc	5.0	325.0	0.0	0.5	7.0	chemeq	1.9668395497994175e-09	Y2	-23.80340729342351	-23.404434061530488	-23.657862416383125	-23.621881315251656	-23.958478681318667	-24.068002672734902	nan	-20.654031551978317	nan	nan	-15.844952056016695	-13.809515610921174	-21.29770434614399	-17.754866740357585	-17.773671395475265	-20.550196094141143	-21.656795998382467	-22.998516075872043
spectra_logzz_9.0_teff_325.0_grav_100.0_mh_0.0_co_0.5.nc	4.0	325.0	0.0	0.5	9.0	chemeq	2.557793661879611e-09	Y2	-23.429362349426757	-23.13785961903188	-23.635001093021934	-23.757550225960394	-24.032343762277957	-23.872394733155865	nan	-19.928160808203423	nan	nan	-15.028869261816247	-12.497874997405184	-20.570948529976373	-17.057716319660287	-17.063037449385703	-20.021838284241	-20.963378311848476	-22.29291511308118
spectra_logzz_7.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	7.0	chemeq	2.768386230752026e-09	Y2	-22.66318962314409	-22.425300565210918	-23.017154356928653	-23.18589358827733	-23.443014220522638	-23.13112164745087	nan	-18.83627844334818	nan	nan	-13.904604795782745	-11.697522996987011	-19.47853523403464	-15.920707038453862	-15.92807816196413	-19.075815292337385	-19.882337538405203	-21.230041352274828
spectra_logzz_2.0_teff_300.0_grav_1780.0_mh_0.0_co_1.5.nc	5.250420002308894	300.0	0.0	1.5	2.0	chemeq	1.786382300597677e-09	Y2	-23.09542852110158	-22.627271830481018	-22.748983659194842	-22.570108231704033	-23.020953345499148	-23.09706142081345	nan	-20.411718209349218	nan	nan	-16.11131952853041	-13.71664049132287	-21.052888339200287	-18.08097594113952	-18.09732061338432	-20.629797366134223	-21.533708478228956	-22.66265163456528
spectra_logzz_9.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	9.0	chemeq	2.768386230752026e-09	Y2	-22.77575342304131	-22.526072706058287	-23.11901677617957	-23.288719043222372	-23.544145853350006	-23.23240832906378	nan	-18.921497394110197	nan	nan	-13.924189669738205	-11.71005469584648	-19.564151538076132	-15.938354906857498	-15.944953097923964	-19.1083892038074	-19.94765438507351	-21.32838519231465
spectra_logzz_4.0_teff_275.0_grav_1000.0_mh_0.0_co_1.5.nc	5.0	275.0	0.0	1.5	4.0	chemeq	1.9510506952646416e-09	Y2	-21.862041455908535	-21.389671313239244	-21.545594577892103	-21.39460314854433	-21.944657418787415	-22.11508053979192	nan	-19.52113908172952	nan	nan	-15.658210308597418	-13.248391629991374	-20.159812289326588	-17.62120798515616	-17.643922953134645	-20.0012911150069	-20.712990973917773	-21.672720694165218
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_0.0_co_2.5.nc	4.250420002308894	325.0	0.0	2.5	8.0	chemeq	2.4382388999730725e-09	Y2	-23.58875555296389	-23.39165789552837	-24.03030167520049	-24.224061758516093	-24.47906241974735	-24.024053349726845	nan	-19.792804070772554	nan	nan	-15.22154096365766	-12.900547292308886	-20.435184468275686	-17.238370560863835	-17.241707896372894	-20.159429856207083	-20.824561612438732	-22.140671957705788
spectra_logzz_9.0_teff_300.0_grav_1000.0_mh_0.0_co_1.5.nc	5.0	300.0	0.0	1.5	9.0	chemeq	1.9578173284523617e-09	Y2	-23.304146938111344	-22.915943307050654	-23.21277596891048	-23.200127943456643	-23.564434636146316	-23.476835213094088	nan	-20.263025950992887	nan	nan	-15.783594676424308	-13.649411920537808	-20.90515140007124	-17.721926397868508	-17.739829477748515	-20.43922032742794	-21.33656715810285	-22.55265957861582
spectra_logzz_8.0_teff_325.0_grav_17.0_mh_0.0_co_1.0.nc	3.230448921378274	325.0	0.0	1.0	8.0	chemeq	2.768386230752026e-09	Y2	-22.6564136565606	-22.4653831093227	-23.125524962974854	-23.32616704601345	-23.557887069756255	-23.083758289077387	nan	-18.656803400414777	nan	nan	-14.052803791048127	-11.767899704791539	-19.298487136359494	-16.04794152390769	-16.05565756762831	-19.14046062016779	-19.69731581959498	-21.017103033761707
spectra_logzz_9.0_teff_300.0_grav_1780.0_mh_0.0_co_2.5.nc	5.250420002308894	300.0	0.0	2.5	9.0	chemeq	1.786382300597677e-09	Y2	-23.487201225565986	-23.088835002383412	-23.357819823226507	-23.323240514494202	-23.710099308818045	-23.598806675772583	nan	-20.529662010769925	nan	nan	-16.130297869632166	-13.74966735359115	-21.171546459248056	-18.100520456594086	-18.115457462943304	-20.757345175938053	-21.62141066747643	-22.80061084690337
spectra_logzz_8.0_teff_275.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	275.0	0.0	0.5	8.0	chemeq	2.5738817756807663e-09	Y2	-20.90506616617156	-20.58212360421942	-21.026201469870728	-21.10606889125517	-21.5019470986353	-21.55142895201536	nan	-18.263469894532342	nan	nan	-14.13580199269451	-11.76621453373268	-18.901326389533082	-16.1090345180815	-16.14501316123293	-18.781199609714292	-19.5046089764038	-20.456348579077954
