name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_4.0_teff_300.0_grav_56.0_mh_0.0_co_0.5.nc	3.7481880270062002	300.0	0.0	0.5	4.0	chemeq	2.605493798780066e-09	Y2	-17.43536732454886	-20.486047927089544	-22.126159996793227	-21.755010829452978	-18.679179917670965	-21.28646079671189	-22.34769145784736	-25.643814211735915	-28.25748975372961	-28.66524054838276	-28.715511970428977
spectra_logzz_2.0_teff_325.0_grav_31.0_mh_0.0_co_0.5.nc	3.4913616938342726	325.0	0.0	0.5	2.0	chemeq	2.6925057269529045e-09	Y2	-17.2144878319857	-20.539107310567857	-22.52130747215918	-21.89715228524259	-19.297525976059624	-21.779693884754042	-22.811915276720505	-25.745819559072547	-28.3352487439939	-28.823482842486072	-28.96560777145252
spectra_logzz_8.0_teff_325.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	325.0	0.0	0.5	8.0	chemeq	2.1337262005208867e-09	Y2	-18.776157391667475	-22.747119430883714	-24.100091587294894	-23.910886402536597	-20.593365992225202	-22.455876442579203	-23.50675049353721	-27.1276968968504	-29.373556016025347	-29.24263935642149	-28.679863227777474
spectra_logzz_8.0_teff_300.0_grav_56.0_mh_0.0_co_1.5.nc	3.7481880270062002	300.0	0.0	1.5	8.0	chemeq	2.605493798780066e-09	Y2	-17.706299586644764	-20.456474757178995	-23.118636882160963	-22.424444969341785	-19.54769221231575	-22.114023522541572	-23.10698851352668	-24.98535945407329	-28.09070450041675	-28.111103200617055	-27.625365964871932
spectra_logzz_8.0_teff_275.0_grav_17.0_mh_0.0_co_2.5.nc	3.230448921378274	275.0	0.0	2.5	8.0	chemeq	2.6773843630334625e-09	Y2	-16.52252294613966	-17.91437815787289	-21.241849338500398	-20.4531409846166	-17.71490934358586	-20.996655176898823	-21.986270811975047	-23.33361070542851	-26.97764956480891	-27.17925013312417	-26.841487118278938
spectra_logzz_7.0_teff_325.0_grav_1000.0_mh_0.0_co_0.5.nc	5.0	325.0	0.0	0.5	7.0	chemeq	1.9668395497994175e-09	Y2	-18.795451033954762	-22.973455162655256	-23.9706021337916	-23.89601514893987	-20.422854199843606	-22.29277627267757	-23.353814693955997	-27.240416905060012	-29.430818082061815	-29.39892993194289	-28.976129066579933
spectra_logzz_9.0_teff_325.0_grav_100.0_mh_0.0_co_0.5.nc	4.0	325.0	0.0	0.5	9.0	chemeq	2.557793661879611e-09	Y2	-18.129300733495505	-22.00117052122541	-24.15325153294654	-23.696843058390407	-20.776702603992817	-22.871423877768997	-23.900533974248788	-26.729989668549774	-29.111986177701507	-28.87226757913055	-28.02920947583741
spectra_logzz_7.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	7.0	chemeq	2.768386230752026e-09	Y2	-17.15644982825694	-20.681605799570328	-23.598627740764897	-22.95138095726459	-20.541036271208892	-22.981149756394647	-23.989093119261327	-26.170850070861597	-28.733804526028162	-28.67804435319195	-28.26915097825435
spectra_logzz_2.0_teff_300.0_grav_1780.0_mh_0.0_co_1.5.nc	5.250420002308894	300.0	0.0	1.5	2.0	chemeq	1.786382300597677e-09	Y2	-18.99412249734442	-22.622149745099208	-22.961718349983364	-22.925775606668346	-18.88947031427309	-21.24360193592609	-22.265375878905495	-25.718761554025953	-28.660491919289388	-29.147278208613756	-29.078862175662707
spectra_logzz_9.0_teff_325.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	325.0	0.0	0.5	9.0	chemeq	2.768386230752026e-09	Y2	-17.178179768960934	-20.782578238787124	-23.695986725617807	-23.052321260014946	-20.629739293647994	-23.087209887439293	-24.097832124438987	-26.2799108399499	-28.773052516287766	-28.561638057078426	-27.737101784074028
spectra_logzz_4.0_teff_275.0_grav_1000.0_mh_0.0_co_1.5.nc	5.0	275.0	0.0	1.5	4.0	chemeq	1.9510506952646416e-09	Y2	-18.541301405287662	-21.559607223246452	-21.80316074657457	-21.944191304992913	-17.552306448964153	-20.417675953178907	-21.462832166221816	-24.986790082952687	-28.134244745110923	-28.699314102941162	-28.687798016043804
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_0.0_co_2.5.nc	4.250420002308894	325.0	0.0	2.5	8.0	chemeq	2.4382388999730725e-09	Y2	-18.275828786535396	-21.69157753007824	-24.603303149446504	-23.83566751072172	-21.11145757676881	-23.060969336104662	-24.029315941081514	-25.393148911673038	-28.5729620889364	-28.510832518831364	-27.80266506081688
spectra_logzz_9.0_teff_300.0_grav_1000.0_mh_0.0_co_1.5.nc	5.0	300.0	0.0	1.5	9.0	chemeq	1.9578173284523617e-09	Y2	-18.71644637965844	-22.470862591815447	-23.58472007155366	-23.302462372209323	-19.53209968905352	-21.83813054218202	-22.8477072531295	-25.801631545321918	-28.713613949831764	-28.714253620117127	-28.15061609272438
