name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_4.0_teff_325.0_grav_3160.0_mh_0.5_co_1.5.nc	5.4996870826184034	325.0	0.5	1.5	4.0	chemeq	1.5989433905410841e-09	Y2	-19.80986265755716	-23.270534909565434	-25.393205852287082	-24.349690997614793	-21.875638967047248	-22.477170366587707	-23.44258298637147	-26.00340543034512	-28.963643272695467	-29.106776089899455	-28.832043990601843
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	300.0	0.5	0.5	2.0	chemeq	2.095381911134037e-09	Y2	-18.872097314045863	-21.397345092112552	-22.845528844225928	-22.04661045359591	-19.498279405851136	-20.460757002418045	-21.496660377815537	-25.490460294933403	-28.19017329356677	-28.589212911711453	-28.53745350365593
spectra_logzz_7.0_teff_325.0_grav_1780.0_mh_0.5_co_1.0.nc	5.250420002308894	325.0	0.5	1.0	7.0	chemeq	1.7615710277900978e-09	Y2	-19.78523425308686	-23.145014548879914	-25.46655317866	-24.45933735454587	-22.11877951234808	-22.684455606407816	-23.65981327666987	-26.374092687885863	-29.111595066200252	-28.930716080425913	-28.078377847415936
spectra_logzz_7.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	7.0	chemeq	2.7392460358194033e-09	Y2	-17.01287098552385	-18.931429907927928	-22.31229427480159	-21.08923446097773	-19.76349784198629	-21.522656889808935	-22.552212422336584	-24.8139142380238	-27.654086664011846	-27.57533668938841	-26.876390679719602
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_0.5_co_0.5.nc	3.230448921378274	300.0	0.5	0.5	9.0	chemeq	2.7392460358194033e-09	Y2	-17.172616098708108	-19.386366163193543	-22.71824698203562	-21.416725184221583	-20.131047174964536	-21.82495207361413	-22.8557222479125	-25.17755136207925	-27.805279910007105	-27.557374017697523	-26.342782167627057
spectra_logzz_7.0_teff_275.0_grav_3160.0_mh_0.5_co_0.5.nc	5.4996870826184034	275.0	0.5	0.5	7.0	chemeq	1.5907086956077193e-09	Y2	-19.701789549525827	-22.54145172901436	-23.048748460516713	-22.68381602147062	-19.32374372964331	-20.224742079495723	-21.256098345608446	-26.04215851788262	-28.5947870400038	-28.585802936450943	-27.958763180760446
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	275.0	0.5	0.5	4.0	chemeq	2.3728283295377162e-09	Y2	-18.069191715647214	-20.163826593119804	-21.608814931138483	-20.78052291679338	-18.31287906754673	-19.721482375866444	-20.79379383931355	-24.601571046145615	-27.560282267504725	-27.925065507123545	-27.856971519691044
spectra_logzz_2.0_teff_275.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	275.0	0.5	0.5	2.0	chemeq	2.0795943327408637e-09	Y2	-18.570156028407766	-20.7307696916935	-21.53467432872963	-20.971255712718836	-18.011383052959207	-19.300083365813283	-20.363162869955957	-24.847455258314827	-27.702042367970826	-28.21448540944123	-28.18073988786751
spectra_logzz_8.0_teff_300.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	300.0	0.5	1.0	8.0	chemeq	2.7392460358194033e-09	Y2	-17.186572760234025	-18.69010974068808	-22.58219231561157	-21.140532430240512	-20.03936349128478	-21.753395654506235	-22.755244989259047	-24.368133673968934	-27.37816541420602	-27.249609220320878	-26.24155737272155
spectra_logzz_7.0_teff_300.0_grav_3160.0_mh_0.5_co_2.5.nc	5.4996870826184034	300.0	0.5	2.5	7.0	chemeq	1.5955613579662438e-09	Y2	-19.767431207245245	-22.667395302605872	-24.803700950963353	-23.778144236677193	-21.133142820448782	-21.950217249839177	-22.921476471553987	-25.041301414834056	-28.42313637068334	-28.455169768289046	-27.791325583113093
spectra_logzz_4.0_teff_300.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	300.0	0.5	0.5	4.0	chemeq	2.4021498885254974e-09	Y2	-18.21987409114415	-20.809704457583596	-22.934303749053925	-21.92713813648686	-19.80785208189558	-20.955270855037266	-21.99863449070525	-25.269758144450634	-28.063760563154624	-28.279677198496245	-28.14294631059936
spectra_logzz_9.0_teff_275.0_grav_316.0_mh_0.5_co_1.5.nc	4.4996870826184034	275.0	0.5	1.5	9.0	chemeq	2.23300211297923e-09	Y2	-18.64542594434255	-20.59851506729906	-23.04497331558985	-21.903772297235022	-19.562720931800587	-20.805903840146776	-21.817384980008498	-24.24879629854266	-27.509798044008292	-27.421609593560074	-26.30094110999586
spectra_logzz_7.0_teff_300.0_grav_316.0_mh_0.5_co_2.5.nc	4.4996870826184034	300.0	0.5	2.5	7.0	chemeq	2.255558041837094e-09	Y2	-18.75224152149237	-20.77823512818984	-24.124740831505022	-22.873767695289867	-21.02811190586963	-21.919578784535076	-22.902587262200214	-24.27611945278091	-27.762373230245398	-27.74461734928674	-26.941323662142313
spectra_logzz_4.0_teff_325.0_grav_56.0_mh_0.5_co_0.5.nc	3.7481880270062002	325.0	0.5	0.5	4.0	chemeq	2.643945744647225e-09	Y2	-17.912494066439052	-20.537850995194898	-23.444283327065413	-22.21886511395643	-20.838700744141896	-21.982470648973667	-22.995597070859947	-25.44815634436391	-28.204872899769086	-28.40196204488356	-28.327627521829143
spectra_logzz_7.0_teff_275.0_grav_100.0_mh_0.5_co_1.0.nc	4.0	275.0	0.5	1.0	7.0	chemeq	2.485616083158149e-09	Y2	-17.90684010263613	-19.52181042696419	-22.334826931447402	-21.150944978994016	-19.181165769230624	-20.680649312723666	-21.705065652930323	-24.1735259876418	-27.417964215827947	-27.419868789071426	-26.722486856272667
spectra_logzz_2.0_teff_275.0_grav_178.0_mh_0.5_co_2.5.nc	4.250420002308894	275.0	0.5	2.5	2.0	chemeq	2.3728283295377162e-09	Y2	-18.02786857103333	-18.723273939609587	-21.40026235677477	-20.101850103882683	-18.152796979920158	-19.43726777272954	-20.450547706542277	-22.631305815746654	-26.694683857910803	-27.568969242506437	-27.871945663778448
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_0.5_co_2.5.nc	4.749736315569061	300.0	0.5	2.5	4.0	chemeq	2.095381911134037e-09	Y2	-19.12850039388361	-21.112804239023568	-23.940265903540027	-22.67966273791258	-20.721927480153976	-21.509049491549426	-22.49554587195473	-24.249069783161456	-27.847792286393393	-28.229859957777194	-28.202353549374877
spectra_logzz_7.0_teff_275.0_grav_316.0_mh_0.5_co_2.5.nc	4.4996870826184034	275.0	0.5	2.5	7.0	chemeq	2.23300211297923e-09	Y2	-18.61764910230414	-20.051137384242043	-22.924749952807847	-21.68596101581472	-19.550332309341755	-20.774677907808687	-21.774234757211065	-23.54370713923562	-27.272593911673678	-27.353805444363825	-26.6703254168151
spectra_logzz_9.0_teff_300.0_grav_316.0_mh_0.5_co_1.5.nc	4.4996870826184034	300.0	0.5	1.5	9.0	chemeq	2.255558041837094e-09	Y2	-18.776203532032888	-21.32372693243869	-24.22943731962051	-23.01906937565174	-21.045027721514845	-21.966330993438646	-22.95899470927482	-25.018065338240486	-28.069344340032803	-27.899871134424735	-26.665963773121042
spectra_logzz_2.0_teff_300.0_grav_31.0_mh_0.5_co_0.5.nc	3.4913616938342726	300.0	0.5	0.5	2.0	chemeq	2.661002329523503e-09	Y2	-17.249195098898547	-19.08516772756946	-21.648838626529354	-20.34379039951727	-19.09276320502397	-20.695882853641983	-21.73711097180244	-24.525991297516622	-27.457808436750923	-28.02150385416327	-28.219802609266786
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_0.5_co_2.5.nc	4.250420002308894	300.0	0.5	2.5	2.0	chemeq	2.4021498885254974e-09	Y2	-18.197482676294094	-19.549201375229607	-22.839683990172766	-21.494414891301133	-19.859495056615483	-20.867504738832803	-21.861568753212936	-23.510035543686477	-27.273373297099933	-28.055849171538284	-28.352664062557608
spectra_logzz_7.0_teff_300.0_grav_100.0_mh_0.5_co_1.0.nc	4.0	300.0	0.5	1.0	7.0	chemeq	2.521704863514142e-09	Y2	-18.319085170640125	-20.456091916624487	-23.56045611865245	-22.347766400255097	-20.651024235523884	-21.7981539480611	-22.8026474093062	-24.881460547843837	-27.96353698202511	-27.87935536043649	-27.065029904121158
spectra_logzz_4.0_teff_275.0_grav_562.0_mh_0.5_co_2.5.nc	4.749736315569061	275.0	0.5	2.5	4.0	chemeq	2.0795943327408637e-09	Y2	-18.918715945591952	-20.259695862900067	-22.655346111225942	-21.54056272137023	-19.074623422140064	-20.265518128766693	-21.268854943270885	-23.455786107238836	-27.303448375782594	-27.89408189761332	-28.0049388451988
spectra_logzz_8.0_teff_325.0_grav_56.0_mh_0.5_co_1.5.nc	3.7481880270062002	325.0	0.5	1.5	8.0	chemeq	2.643945744647225e-09	Y2	-18.08185648562323	-20.555718445976	-24.373982511799092	-23.01026117093616	-21.88873020438024	-22.950810964446113	-23.92095519486668	-25.131631937331946	-28.01707749250222	-27.821449016749032	-26.687223383260964
spectra_logzz_8.0_teff_300.0_grav_1780.0_mh_0.5_co_1.5.nc	5.250420002308894	300.0	0.5	1.5	8.0	chemeq	1.7548045679055585e-09	Y2	-19.47816309317285	-22.498782098675296	-24.709964970690812	-23.734112108647054	-21.11646657345816	-21.855739229655445	-22.836173162827155	-25.438581664754533	-28.54012138332221	-28.397988966227896	-27.336321360833338
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_0.5_co_0.5.nc	4.250420002308894	325.0	0.5	0.5	4.0	chemeq	2.4292162322183615e-09	Y2	-18.486615299190316	-21.421593408240376	-24.098114524555648	-23.06501645035964	-21.245525598562836	-22.057429779305505	-23.07287672723603	-25.923833743853237	-28.605684992030525	-28.734896142228642	-28.547295058852075
spectra_logzz_8.0_teff_300.0_grav_1000.0_mh_0.5_co_2.5.nc	5.0	300.0	0.5	2.5	8.0	chemeq	1.9262397143133415e-09	Y2	-19.570470771144223	-21.90884426855876	-24.61737732020835	-23.444388524731867	-21.23849062136529	-21.934385903244767	-22.91329034497191	-24.681255050889007	-28.069756646301396	-27.987790058503162	-26.969093156617834
spectra_logzz_8.0_teff_275.0_grav_1000.0_mh_0.5_co_0.5.nc	5.0	275.0	0.5	0.5	8.0	chemeq	1.919473023357895e-09	Y2	-18.940304017946847	-21.82384938101283	-23.14488520053902	-22.541800723367384	-19.54134547311123	-20.655609220640446	-21.70017851469376	-25.77916979561604	-28.427671716570625	-28.30440992055817	-27.473167911555734
spectra_logzz_4.0_teff_275.0_grav_17.0_mh_0.5_co_1.0.nc	3.230448921378274	275.0	0.5	1.0	4.0	chemeq	2.6824274957415417e-09	Y2	-16.499432902011485	-16.777321746342885	-20.239191782045342	-18.894191106964715	-17.546548065699227	-19.723389038815093	-20.756026406300265	-22.986062170518803	-26.533245807345896	-27.218473965289135	-27.48317451687066
spectra_logzz_2.0_teff_325.0_grav_562.0_mh_0.5_co_0.5.nc	4.749736315569061	325.0	0.5	0.5	2.0	chemeq	2.108914163948451e-09	Y2	-19.14030113717586	-22.163590361107147	-24.035176954647785	-23.078460855664677	-20.850517277462533	-21.506347209630306	-22.51874192788659	-26.063624355545265	-28.645740333698537	-28.91922297610122	-28.821322363105526
spectra_logzz_9.0_teff_275.0_grav_17.0_mh_0.5_co_1.5.nc	3.230448921378274	275.0	0.5	1.5	9.0	chemeq	2.6824274957415417e-09	Y2	-16.71685155270231	-17.356287309439757	-21.298888359178683	-19.83113569416017	-18.526951478054706	-20.66224582434382	-21.66935896435094	-23.227491296951584	-26.471571141894817	-26.48421276685003	-25.629736961695063
spectra_logzz_9.0_teff_300.0_grav_56.0_mh_0.5_co_2.5.nc	3.7481880270062002	300.0	0.5	2.5	9.0	chemeq	2.605552525641428e-09	Y2	-17.95207002738182	-19.419588476627087	-23.24356530141872	-21.741829763362112	-20.534337442851523	-21.937208629142326	-22.909454747218156	-23.85806619296404	-26.986713898954307	-26.970918538806938	-26.16887949709089
spectra_logzz_7.0_teff_275.0_grav_17.0_mh_0.5_co_1.5.nc	3.230448921378274	275.0	0.5	1.5	7.0	chemeq	2.6824274957415417e-09	Y2	-16.563465837033924	-16.759579469825322	-20.812113297675765	-19.40091934730986	-18.128143433139954	-20.277492241380973	-21.286554634927594	-22.832236770499343	-26.429823109661797	-26.656720191749592	-26.318868389917554
spectra_logzz_7.0_teff_300.0_grav_56.0_mh_0.5_co_2.5.nc	3.7481880270062002	300.0	0.5	2.5	7.0	chemeq	2.605552525641428e-09	Y2	-17.86597987561577	-19.08048481090977	-23.003798162386033	-21.591511628208423	-20.401139312094482	-21.777382479640085	-22.75620232462324	-23.672112098530953	-27.089541572806155	-27.151628882981434	-26.513941819937028
spectra_logzz_2.0_teff_325.0_grav_178.0_mh_0.5_co_2.5.nc	4.250420002308894	325.0	0.5	2.5	2.0	chemeq	2.4292162322183615e-09	Y2	-18.563529620935565	-20.290428233184016	-23.887229355696185	-22.496917506341767	-21.15029577351668	-21.88668068481935	-22.866385428906696	-24.172302266907764	-27.70705884161473	-28.28026494762826	-28.492016164492156
spectra_logzz_7.0_teff_325.0_grav_100.0_mh_0.5_co_1.0.nc	4.0	325.0	0.5	1.0	7.0	chemeq	2.5532825778353047e-09	Y2	-18.4897509631166	-21.245227740453394	-24.599146380792114	-23.350711104907923	-21.96331825511415	-22.79189705035874	-23.776214581303762	-25.510524687717083	-28.385987046397368	-28.234008575617246	-27.362105212615106
spectra_logzz_2.0_teff_325.0_grav_3160.0_mh_0.5_co_0.5.nc	5.4996870826184034	325.0	0.5	0.5	2.0	chemeq	1.5989433905410841e-09	Y2	-19.775599385433015	-23.30990279260619	-24.569844874149815	-23.88504002559009	-21.13044539709659	-21.72933976577759	-22.7255816027033	-26.854634262669194	-29.206961492394313	-29.378626156787785	-29.103082546201502
spectra_logzz_4.0_teff_300.0_grav_1000.0_mh_0.5_co_1.0.nc	5.0	300.0	0.5	1.0	4.0	chemeq	1.9262397143133415e-09	Y2	-19.373354600784594	-22.080700410487	-24.138547203919167	-23.129463357422637	-20.621338902716573	-21.42159905256407	-22.417672761124628	-25.4352947900549	-28.409597697970018	-28.607614388288358	-28.404826938188883
spectra_logzz_9.0_teff_325.0_grav_316.0_mh_0.5_co_1.5.nc	4.4996870826184034	325.0	0.5	1.5	9.0	chemeq	2.278113860411116e-09	Y2	-18.991890791453883	-22.015788773548753	-25.1766317512134	-23.943344375064797	-22.22445188797592	-22.927896338974822	-23.90135570973448	-25.67112713547006	-28.44114144238252	-28.174390313837144	-26.82243115700676
spectra_logzz_2.0_teff_275.0_grav_1780.0_mh_0.5_co_1.0.nc	5.250420002308894	275.0	0.5	1.0	2.0	chemeq	1.7480379347178387e-09	Y2	-19.238088215787577	-21.486508248841368	-22.17392041224661	-21.597549369252096	-18.307512137872088	-19.406981122394303	-20.42101949500732	-24.576657949867446	-27.817842844430203	-28.389228672061044	-28.282557374092534
spectra_logzz_2.0_teff_275.0_grav_31.0_mh_0.5_co_1.5.nc	3.4913616938342726	275.0	0.5	1.5	2.0	chemeq	2.611145782582343e-09	Y2	-16.981520972756087	-17.1712200048527	-20.333425230431427	-18.91168402261605	-17.654634431243913	-19.525100219521192	-20.545022657992014	-22.71561325525842	-26.448585132075888	-27.399843623299432	-27.793744219576347
spectra_logzz_7.0_teff_325.0_grav_316.0_mh_0.5_co_2.5.nc	4.4996870826184034	325.0	0.5	2.5	7.0	chemeq	2.278113860411116e-09	Y2	-19.034428777036858	-21.472379532554577	-25.063730736418194	-23.813066173686284	-22.29320455269527	-22.909849298945584	-23.878212063746744	-24.950059205617276	-28.196341224879237	-28.130765417964582	-27.297795653504906
