name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_1.0_co_2.5.nc	3.230448921378274	300.0	1.0	2.5	9.0	chemeq	2.7392460358194033e-09	Y2	1.1827599496560435e+17	1.1889684707802229e+17	6.614427409340082e+18	8.320369398079684e+17	1.3707656466442038e+18	3.898426553625865e+18	9.48124563110897e+18	1.2180462353747823e+19	1.691963077913966e+20	1.4749532426758919e+20	9.404374573379525e+19
spectra_logzz_4.0_teff_275.0_grav_56.0_mh_1.0_co_1.0.nc	3.7481880270062002	275.0	1.0	1.0	4.0	chemeq	2.5626563753470635e-09	Y2	1.1728892724780285e+17	6.855115784264339e+16	2.4355603754215624e+18	4.666647496961149e+17	4.428165675204874e+17	6.829749461731604e+17	1.7673140551648036e+18	1.20373545619487e+19	3.3933038122896615e+20	4.526669738605997e+20	3.776876620049994e+20
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_1.0_co_2.5.nc	4.250420002308894	275.0	1.0	2.5	4.0	chemeq	2.3728283295377162e-09	Y2	1.9790802383637568e+17	1.2122678795923362e+17	4.991418019590961e+18	9.870170594855433e+17	7.428334549840636e+17	7.536226853190606e+17	1.9077933263784494e+18	6.637923536492494e+18	2.9028357677256127e+20	3.812400247529861e+20	2.6854125271956118e+20
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_1.0_co_2.5.nc	4.749736315569061	300.0	1.0	2.5	2.0	chemeq	2.095381911134037e-09	Y2	5.4136907488302675e+17	1.0610028591237222e+18	2.7860406838395494e+19	5.989111138076594e+18	3.566626620439209e+18	2.468942222322847e+18	6.169881760187103e+18	2.1453953548469993e+19	7.541791297537859e+20	1.0300696429851679e+21	9.15724232985431e+20
spectra_logzz_7.0_teff_275.0_grav_56.0_mh_1.0_co_1.5.nc	3.7481880270062002	275.0	1.0	1.5	7.0	chemeq	2.5626563753470635e-09	Y2	1.2076573849325378e+17	6.1596615983755704e+16	3.1546834110620856e+18	5.666259707631906e+17	5.313824267880075e+17	9.365542764137622e+17	2.3890899146626637e+18	9.683996205260384e+18	2.016011897869448e+20	2.321089511964419e+20	1.3484582170291118e+20
spectra_logzz_9.0_teff_325.0_grav_3160.0_mh_1.0_co_1.5.nc	5.4996870826184034	325.0	1.0	1.5	9.0	chemeq	1.5989433905410841e-09	Y2	1.7468703579973763e+18	2.1665033764685156e+19	2.958695886552799e+20	7.2834041213887816e+19	2.603839833528127e+19	1.2724819357274077e+19	3.068047048867621e+19	2.3724853683771562e+20	2.340619429525516e+21	1.6467639683919512e+21	3.877841072177932e+20
spectra_logzz_7.0_teff_300.0_grav_17.0_mh_1.0_co_2.5.nc	3.230448921378274	300.0	1.0	2.5	7.0	chemeq	2.7392460358194033e-09	Y2	8.735623025341317e+16	4.1036524001310856e+16	3.44343888023307e+18	6.575668722143401e+17	1.1094726273912987e+18	2.603773893375218e+18	6.415726996880938e+18	8.449631532241703e+18	1.580528064629912e+20	1.8342463105488516e+20	1.2978718329196991e+20
spectra_logzz_4.0_teff_275.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	275.0	1.0	0.5	4.0	chemeq	2.0795943327408637e-09	Y2	4.6587186070252774e+17	1.789037734929529e+18	9.609025335173306e+18	2.6428461764514263e+18	8.791174410855186e+17	7.624826497834981e+17	2.0001391467349793e+18	5.572485736142428e+19	9.444943104171813e+20	1.1119097926564714e+21	8.327566754877533e+20
spectra_logzz_7.0_teff_275.0_grav_316.0_mh_1.0_co_0.5.nc	4.4996870826184034	275.0	1.0	0.5	7.0	chemeq	2.23300211297923e-09	Y2	3.264655475223483e+17	1.4660801714259784e+18	1.2764404845631394e+19	3.2378451671118106e+18	1.301447069088098e+18	1.247383837018553e+18	3.2772660302464307e+18	6.588564011978695e+19	8.934052999793171e+20	7.66559291858966e+20	2.5790720373271373e+20
spectra_logzz_2.0_teff_300.0_grav_31.0_mh_1.0_co_2.5.nc	3.4913616938342726	300.0	1.0	2.5	2.0	chemeq	2.661002329523503e-09	Y2	8.324950060926058e+16	3.239687131660979e+16	3.0323350576457364e+18	7.359013318098463e+17	1.1530906309791068e+18	1.8500267143943342e+18	4.5917579125020995e+18	7.73630413221562e+18	2.980414525211109e+20	5.572423576598888e+20	7.172344387695686e+20
spectra_logzz_2.0_teff_300.0_grav_178.0_mh_1.0_co_0.5.nc	4.250420002308894	300.0	1.0	0.5	2.0	chemeq	2.4021498885254974e-09	Y2	2.669473786403481e+17	1.0225354903890701e+18	1.3919556200803222e+19	3.066816111400515e+18	2.1579568308348076e+18	1.7222789208184387e+18	4.455785518254754e+18	6.430195027274795e+19	1.0607978692191065e+21	1.3664234015243814e+21	1.262729880627505e+21
