name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_7.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	7.0	chemeq	2.661002329523503e-09	Y2	-21.03730199676231	-20.940681651429443	-21.447954189331355	-21.560094334612383	-21.574683026005477	-20.38583800705031	nan	-17.131662053970757	nan	nan	-14.835782902567637	-12.495480538873878	-17.76420448217595	-16.743926864841118	-16.855953411041543	-18.19743403848077	-18.013731126952937	-18.761585927543074
spectra_logzz_9.0_teff_300.0_grav_31.0_mh_1.0_co_1.5.nc	3.4913616938342726	300.0	1.0	1.5	9.0	chemeq	2.661002329523503e-09	Y2	-21.723765059669596	-21.619751582108318	-22.10422333254329	-22.20518449765588	-22.160583472245936	-20.715562726183954	nan	-17.75658409187953	nan	nan	-14.92916178594514	-12.58184962607453	-18.391625474887658	-16.880135907049702	-16.96212862121179	-18.80726690578405	-18.760650428142405	-19.662787042686663
spectra_logzz_4.0_teff_300.0_grav_31.0_mh_1.0_co_1.0.nc	3.4913616938342726	300.0	1.0	1.0	4.0	chemeq	2.661002329523503e-09	Y2	-20.84286677204209	-20.73113470516541	-21.22509156344324	-21.32941485106131	-21.367034111212572	-20.290574932981627	nan	-17.005303205532595	nan	nan	-14.763395100690701	-12.417930321637364	-17.637464845853223	-16.64119660974606	-16.773398629360596	-18.052420433598364	-17.893455776036106	-18.606477959457887
spectra_logzz_9.0_teff_300.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	300.0	1.0	0.5	9.0	chemeq	2.095381911134037e-09	Y2	-23.809970105279888	-23.576540729451384	-23.89688571128589	-23.891702454696155	-23.970802514775833	-23.32021113022297	nan	-20.38968388798581	nan	nan	-16.756643280852334	-14.47101474604267	-21.027679737647695	-18.623958493444544	-18.69671752299334	-20.733573635590194	-21.552078804566936	-22.66819285250061
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_1.0_co_1.0.nc	3.7481880270062002	325.0	1.0	1.0	2.0	chemeq	2.643945744647225e-09	Y2	-22.22720068142222	-22.111668826243548	-22.55752896310599	-22.63510410922649	-22.708747579179278	-21.765794404805046	nan	-18.153592713320215	nan	nan	-15.408059896580568	-13.112064648207571	-18.789032827536904	-17.321976037695663	-17.41566295618244	-19.118441354602453	-19.11423855785285	-20.13180653230953
spectra_logzz_9.0_teff_275.0_grav_562.0_mh_1.0_co_0.5.nc	4.749736315569061	275.0	1.0	0.5	9.0	chemeq	2.0795943327408637e-09	Y2	-22.668116418148664	-22.45773118643639	-22.783517612443262	-22.779427549203874	-22.849417321388557	-22.160494980469885	nan	-19.853321599980152	nan	nan	-16.702001194040616	-14.42521226592168	-20.48838895375149	-18.539941500124165	-18.6322096126334	-20.41252291828908	-21.07738197101885	-21.961055395055887
spectra_logzz_2.0_teff_300.0_grav_3160.0_mh_1.0_co_1.5.nc	5.4996870826184034	300.0	1.0	1.5	2.0	chemeq	1.5955613579662438e-09	Y2	-23.536732322754904	-23.422004545084512	-23.77783808207129	-23.797596259712456	-23.876872929475052	-23.06603547148916	nan	-20.514533066251882	nan	nan	-17.44613890459097	-15.312557351344502	-21.1495053290016	-19.293870504050158	-19.349077477457016	-21.35940315063862	-21.70504338219928	-22.515711080945202
spectra_logzz_8.0_teff_275.0_grav_100.0_mh_1.0_co_0.5.nc	4.0	275.0	1.0	0.5	8.0	chemeq	2.485616083158149e-09	Y2	-21.31083596742201	-21.11110250565306	-21.524820785297972	-21.58198498810111	-21.614654757423406	-20.69999995026525	nan	-18.221023452624546	nan	nan	-15.513034676476686	-13.251830378575086	-18.854251742383752	-17.273062466552	-17.411379267539456	-19.063382739904426	-19.378632966373956	-20.08986820858582
spectra_logzz_7.0_teff_300.0_grav_178.0_mh_1.0_co_1.5.nc	4.250420002308894	300.0	1.0	1.5	7.0	chemeq	2.4021498885254974e-09	Y2	-22.604027980900828	-22.474378500321464	-22.93663258689032	-23.025283968057614	-23.05384904541728	-21.957789167622877	nan	-18.848523485086695	nan	nan	-16.11203859903	-13.899481833753669	-19.4830084600641	-17.935125285631614	-18.01945511257668	-19.87267336561503	-19.900788392212682	-20.727428201273348
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_1.0_co_2.5.nc	4.250420002308894	275.0	1.0	2.5	9.0	chemeq	2.3728283295377162e-09	Y2	-21.544436116488015	-21.48069806271109	-21.97936006550461	-22.08646994361819	-22.049746030342668	-20.616604878147967	nan	-18.19445730658814	nan	nan	-15.899464355590318	-13.71029899623742	-18.82575579458531	-17.76568575719168	-17.845367890087804	-19.36338448078503	-19.20707179496523	-19.648242861138353
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_1.0_co_1.0.nc	5.0	275.0	1.0	1.0	7.0	chemeq	1.919473023357895e-09	Y2	-22.791404651794224	-22.63270412104277	-23.025171817048648	-23.0691450597893	-23.153986535589112	-22.366739251064175	nan	-19.788860081669952	nan	nan	-17.005100971662245	-14.915581416851268	-20.42256288262393	-18.74577813859632	-18.830821690032387	-20.682276981486133	-20.96442259192741	-21.686096048620364
spectra_logzz_2.0_teff_275.0_grav_316.0_mh_1.0_co_1.5.nc	4.4996870826184034	275.0	1.0	1.5	2.0	chemeq	2.23300211297923e-09	Y2	-20.981415726139723	-20.89944390841351	-21.349026853131107	-21.42581915081962	-21.466628094511364	-20.44931674585616	nan	-18.247130593240314	nan	nan	-16.200158546519567	-13.901424312571173	-18.876578565258626	-18.013595826735617	-18.132696538374628	-19.341518391288933	-19.258536403784447	-19.522813710408695
spectra_logzz_8.0_teff_300.0_grav_100.0_mh_1.0_co_0.5.nc	4.0	300.0	1.0	0.5	8.0	chemeq	2.521704863514142e-09	Y2	-22.54077298901398	-22.31861209952041	-22.667258180706053	-22.68157223039239	-22.722030545341337	-21.836664675209256	nan	-19.021730140286806	nan	nan	-15.774181721681629	-13.361243861595035	-19.65800394251867	-17.671255688979144	-17.77447595712215	-19.606049264369194	-20.16864172821549	-21.18445166244027
spectra_logzz_2.0_teff_300.0_grav_17.0_mh_1.0_co_1.5.nc	3.230448921378274	300.0	1.0	1.5	2.0	chemeq	2.7392460358194033e-09	Y2	-19.84544009060097	-19.805294660382373	-20.33584533995858	-20.457893711560054	-20.525098443530574	-19.512344134643936	nan	-16.342734172055735	nan	nan	-14.673334771975355	-12.476551857856286	-16.970759787310406	-16.416174872386087	-16.565147771253535	-17.34391006897272	-17.0708279364109	-17.41512694019751
spectra_logzz_2.0_teff_275.0_grav_56.0_mh_1.0_co_2.5.nc	3.7481880270062002	275.0	1.0	2.5	2.0	chemeq	2.5626563753470635e-09	Y2	-19.312466865667897	-19.286233133142716	-19.854323361557427	-19.995446479094706	-20.039963423558476	-18.94959676569781	nan	-16.60209261804782	nan	nan	-15.122795643414456	-12.657161301356403	-17.227595794972395	-16.981105465798805	-17.134095703676994	-17.51135465520112	-17.210370715346883	-16.986267273891528
spectra_logzz_9.0_teff_300.0_grav_178.0_mh_1.0_co_2.5.nc	4.250420002308894	300.0	1.0	2.5	9.0	chemeq	2.4021498885254974e-09	Y2	-22.71451351383317	-22.65358505743533	-23.18096822373179	-23.30724242655054	-23.288691819846548	-21.943287721178784	nan	-19.009861988915578	nan	nan	-16.24950775565162	-13.965510338364645	-19.644085974887	-18.13057259780145	-18.185812057639552	-20.1480251131739	-20.069865734719155	-20.784569858911937
spectra_logzz_7.0_teff_275.0_grav_178.0_mh_1.0_co_1.5.nc	4.250420002308894	275.0	1.0	1.5	7.0	chemeq	2.3728283295377162e-09	Y2	-21.32364028416494	-21.19017547635718	-21.653135386550616	-21.73937807435526	-21.76409304753072	-20.651580252503265	nan	-17.968068999162924	nan	nan	-15.781712784967276	-13.579922085423718	-18.599052431322182	-17.594759556458563	-17.711423279256035	-19.049275875089474	-18.95887683721439	-19.46291227651069
spectra_logzz_2.0_teff_300.0_grav_316.0_mh_1.0_co_1.5.nc	4.4996870826184034	300.0	1.0	1.5	2.0	chemeq	2.255558041837094e-09	Y2	-22.33284609545018	-22.218938758223143	-22.64770392141712	-22.71378599114017	-22.777881983136744	-21.819525629528094	nan	-18.815520741390255	nan	nan	-16.319459109107562	-14.10960820056173	-19.448535293335084	-18.15890283863819	-18.251647549618873	-19.844220404865837	-19.86449445131932	-20.583115932672214
