name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_9.0_teff_300.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	300.0	0.7	1.0	9.0	chemeq	2.4021498885254974e-09	Y2	1.6586421597049485e+19	1.4099911197171292e+19	2.1898711697138733e+19	2.4035960011661697e+19	2.5971325564721447e+19	1.2264795209432377e+19	nan	5.3506374600553146e+17	nan	nan	2.0300011671206344e+16	2706647442087788.5	9.628277803092456e+17	1.1447689605380894e+17	1.2080662636017973e+17	1.0214681639498235e+18	1.4964522832157402e+18	4.049849730037662e+18
spectra_logzz_2.0_teff_275.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	275.0	0.7	1.5	2.0	chemeq	2.485616083158149e-09	Y2	1.0287247008006036e+18	9.779730607617316e+17	1.584662462732437e+18	1.7708602684781773e+18	1.8979024610525555e+18	8.486650218775085e+17	nan	8.59303341042781e+16	nan	nan	1.0709964458982408e+16	1409233465583951.5	1.5352641337769382e+17	5.764429540815257e+16	6.385736632015747e+16	2.5464350127962342e+17	2.3287292992706784e+17	2.8803660223829984e+17
spectra_logzz_2.0_teff_325.0_grav_1780.0_mh_0.7_co_1.5.nc	5.250420002308894	325.0	0.7	1.5	2.0	chemeq	1.7615710277900978e-09	Y2	4.117744664884966e+19	3.6147333465122275e+19	5.522407752597625e+19	6.015501739495569e+19	6.6045620209338245e+19	3.365359919226696e+19	nan	1.8593298338885005e+18	nan	nan	7.1451053367149304e+16	1.1213209868951836e+16	3.34635982467967e+18	3.71244675042657e+17	3.871006243475873e+17	3.432681670181467e+18	5.339866421013553e+18	1.3625542685841226e+19
spectra_logzz_2.0_teff_275.0_grav_56.0_mh_0.7_co_1.0.nc	3.7481880270062002	275.0	0.7	1.0	2.0	chemeq	2.5626563753470635e-09	Y2	6.758362734687748e+17	6.350108964293702e+17	1.045908346713512e+18	1.17945780476846e+18	1.2512595699058284e+18	5.538498355125617e+17	nan	6.584489540816789e+16	nan	nan	8302773814515056.0	898418785769302.6	1.1761387870642909e+17	4.499695216468365e+16	5.0634863082106424e+16	1.92746599089922e+17	1.788143779755633e+17	2.07038991030581e+17
spectra_logzz_8.0_teff_275.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	275.0	0.7	0.5	8.0	chemeq	2.23300211297923e-09	Y2	7.760276888387924e+18	6.367586337853361e+18	9.146435065759405e+18	9.532669023007058e+18	1.0893737801737697e+19	7.034032809575301e+18	nan	5.765697413115831e+17	nan	nan	2.504467262218455e+16	2871184526070159.5	1.0355607415523576e+18	1.4169714299364352e+17	1.5197157816292723e+17	9.801534977452955e+17	1.798777118046058e+18	4.1381923819988864e+18
spectra_logzz_7.0_teff_300.0_grav_1000.0_mh_0.7_co_0.5.nc	5.0	300.0	0.7	0.5	7.0	chemeq	1.9262397143133415e-09	Y2	3.374701598450845e+19	2.7419091230856462e+19	3.920558921613e+19	4.089805664701546e+19	4.6021511165638935e+19	2.955855432389171e+19	nan	1.887454935061211e+18	nan	nan	5.889217491224948e+16	7126401813344725.0	3.3980691522914954e+18	3.3331179455182803e+17	3.4821097530154195e+17	2.799521159849822e+18	5.558784701467845e+18	1.4798459793015857e+19
spectra_logzz_7.0_teff_275.0_grav_1000.0_mh_0.7_co_2.5.nc	5.0	275.0	0.7	2.5	7.0	chemeq	1.919473023357895e-09	Y2	1.0785474662723545e+19	9.694231073626241e+18	1.5347210595851327e+19	1.7020833457154533e+19	1.905026589544086e+19	9.463102846645283e+18	nan	6.116267972606193e+17	nan	nan	4.389259579425929e+16	7080443095359402.0	1.0965744274095999e+18	2.2534822744614435e+17	2.3784117194032077e+17	1.6186840443431516e+18	1.8001094822447875e+18	3.2784217343452764e+18
spectra_logzz_2.0_teff_300.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	300.0	0.7	1.5	2.0	chemeq	2.521704863514142e-09	Y2	3.899771375342796e+18	3.595675478843214e+18	5.647969371136672e+18	6.21426132871215e+18	6.740380854544488e+18	3.0381708348513096e+18	nan	1.7974191550976864e+17	nan	nan	1.5766195743113022e+16	1679118770028385.0	3.219586255544267e+17	9.100380815386614e+16	9.817840119682618e+16	5.044068364325836e+17	4.93739250474342e+17	8.46284394696757e+17
spectra_logzz_9.0_teff_275.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	275.0	0.7	1.0	9.0	chemeq	2.3728283295377162e-09	Y2	5.469955084392998e+18	4.682410731935037e+18	7.198944141223798e+18	7.836546765819135e+18	8.599445503956531e+18	4.3294969270045865e+18	nan	2.7352949184639213e+17	nan	nan	1.6400392118568408e+16	1973043074638530.8	4.908449852257157e+17	9.256755200917336e+16	9.965572306485848e+16	6.03689547441608e+17	8.055317261925345e+17	1.7317655787254308e+18
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_0.7_co_1.5.nc	5.0	325.0	0.7	1.5	9.0	chemeq	1.9352618988991165e-09	Y2	8.118153921510064e+19	6.945405202620956e+19	1.097920874472946e+20	1.2221373205757259e+20	1.3199123539979151e+20	6.1959114359790625e+19	nan	2.659056918904853e+18	nan	nan	6.4490240137207256e+16	7449670347097501.0	4.796792107319853e+18	3.8914510099307584e+17	3.9859690561794214e+17	3.9159188035630403e+18	7.148175513134796e+18	2.246614332467079e+19
spectra_logzz_8.0_teff_300.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	300.0	0.7	0.5	8.0	chemeq	2.255558041837094e-09	Y2	2.242330987853613e+19	1.822746526076158e+19	2.6186376318693364e+19	2.7365294402359476e+19	3.079872791443707e+19	1.8489419173962973e+19	nan	9.174967175335652e+17	nan	nan	2.6865232822232856e+16	3242960272648162.5	1.6522651597675525e+18	1.5485786075573322e+17	1.6346964551186512e+17	1.3124351413162698e+18	2.649840366501087e+18	7.546107593485149e+18
spectra_logzz_2.0_teff_325.0_grav_56.0_mh_0.7_co_2.5.nc	3.7481880270062002	325.0	0.7	2.5	2.0	chemeq	2.643945744647225e-09	Y2	6.18905908037946e+18	5.859050653799947e+18	9.695910089315226e+18	1.0987575741629938e+19	1.2313635924172499e+19	5.720413568996444e+18	nan	1.5625581337138928e+17	nan	nan	1.1888033501407682e+16	1218798999739431.8	2.804528917381414e+17	7.468838974416126e+16	7.866885585760389e+16	4.291388627023063e+17	3.867246618487454e+17	8.76838605653471e+17
spectra_logzz_4.0_teff_300.0_grav_31.0_mh_0.7_co_2.5.nc	3.4913616938342726	300.0	0.7	2.5	4.0	chemeq	2.661002329523503e-09	Y2	1.7936434162313582e+18	1.6994770393223355e+18	2.9229832456137185e+18	3.372631413268546e+18	3.741045225066908e+18	1.6777466546413512e+18	nan	5.406953364744231e+16	nan	nan	6696155471705739.0	679731648668215.1	9.67729645775142e+16	4.080834056516477e+16	4.440453568244396e+16	1.4867640314621206e+17	1.2168065134233094e+17	2.216937132150118e+17
spectra_logzz_2.0_teff_325.0_grav_100.0_mh_0.7_co_1.5.nc	4.0	325.0	0.7	1.5	2.0	chemeq	2.5532825778353047e-09	Y2	1.0990372055800375e+19	1.0022050697450566e+19	1.5562215422414768e+19	1.7038555501599537e+19	1.863429148889472e+19	8.46194059866416e+18	nan	3.277174533295182e+17	nan	nan	1.808929948108161e+16	1806922599804744.8	5.887037736335555e+17	1.1339871930973813e+17	1.1893966155764994e+17	8.127364396354007e+17	8.898211707618783e+17	2.1095782129934264e+18
spectra_logzz_9.0_teff_325.0_grav_31.0_mh_0.7_co_0.5.nc	3.4913616938342726	325.0	0.7	0.5	9.0	chemeq	2.708683622206928e-09	Y2	1.905430241087444e+19	1.547948854598116e+19	2.4090326362610176e+19	2.6522932272364663e+19	2.8156285611879367e+19	1.395800293169501e+19	nan	4.629597290793442e+17	nan	nan	9007475015775284.0	1337409566348562.8	8.354401011322712e+17	5.3008602400020536e+16	5.590187516843925e+16	6.033943477170465e+17	1.2074649419300787e+18	4.230859169597665e+18
spectra_logzz_8.0_teff_275.0_grav_3160.0_mh_0.7_co_2.5.nc	5.4996870826184034	275.0	0.7	2.5	8.0	chemeq	1.5907086956077193e-09	Y2	1.9003616451016827e+19	1.6519399116396069e+19	2.422618361312099e+19	2.5708486604855534e+19	2.9500891388649026e+19	1.6481104003928523e+19	nan	1.404162929157183e+18	nan	nan	7.468309101429757e+16	9380322677245416.0	2.52096060653082e+18	4.2367440494297965e+17	4.403569363796317e+17	3.1931656614240835e+18	4.2686985239864535e+18	8.678617289658273e+18
spectra_logzz_8.0_teff_325.0_grav_316.0_mh_0.7_co_0.5.nc	4.4996870826184034	325.0	0.7	0.5	8.0	chemeq	2.278113860411116e-09	Y2	5.043631610515379e+19	4.098484163994632e+19	6.2968705790497505e+19	6.889881674627901e+19	7.65119822519602e+19	4.4266569171594674e+19	nan	1.5307193021883438e+18	nan	nan	3.1391406358376572e+16	4327830822585785.5	2.762769655138866e+18	1.7950779858095088e+17	1.870326234363514e+17	1.8881673807218524e+18	4.0390033274125174e+18	1.362154972883635e+19
spectra_logzz_7.0_teff_325.0_grav_31.0_mh_0.7_co_0.5.nc	3.4913616938342726	325.0	0.7	0.5	7.0	chemeq	2.708683622206928e-09	Y2	1.1431278972120924e+19	9.492831315025463e+18	1.4535346167174777e+19	1.582021785512822e+19	1.7072837443978224e+19	8.257162310360642e+18	nan	2.7967221486088768e+17	nan	nan	7924532598847406.0	1065166272077893.1	5.039503229580825e+17	4.746927451126689e+16	5.054804017600109e+16	4.548697858604071e+17	7.458597999257617e+17	2.375436017433376e+18
spectra_logzz_9.0_teff_325.0_grav_178.0_mh_0.7_co_1.0.nc	4.250420002308894	325.0	0.7	1.0	9.0	chemeq	2.4292162322183615e-09	Y2	3.859704217350871e+19	3.2679768226519732e+19	5.374783797470104e+19	6.110063779940109e+19	6.6025868231785415e+19	3.156206892329405e+19	nan	1.1028108175328672e+18	nan	nan	2.7566776810896384e+16	2953364309632653.0	1.9885539713082742e+18	1.6896895795437792e+17	1.7428502233964944e+17	1.764045790547869e+18	2.9460269630101827e+18	9.236665589959944e+18
spectra_logzz_8.0_teff_300.0_grav_3160.0_mh_0.7_co_0.5.nc	5.4996870826184034	300.0	0.7	0.5	8.0	chemeq	1.5955613579662438e-09	Y2	4.784424793711262e+19	3.764150795940294e+19	4.971880191116932e+19	4.9151113162291134e+19	5.6772495413973344e+19	4.290098293292216e+19	nan	2.910285759956746e+18	nan	nan	7.255787496803026e+16	9300125760374526.0	5.245284401286233e+18	4.111142417894303e+17	4.268605614395012e+17	3.7775930094115205e+18	8.438906356261984e+18	2.360751022260689e+19
spectra_logzz_8.0_teff_325.0_grav_31.0_mh_0.7_co_1.0.nc	3.4913616938342726	325.0	0.7	1.0	8.0	chemeq	2.708683622206928e-09	Y2	1.3380718974003458e+19	1.1622379535007957e+19	1.898803545754538e+19	2.145202208520722e+19	2.2809975767197032e+19	9.695644874952698e+18	nan	2.737777829634607e+17	nan	nan	9373178108886982.0	1413287518947044.8	4.9329964018262176e+17	5.4891994069940376e+16	5.773626444051758e+16	5.407953635041218e+17	6.928792965081574e+17	2.2335118033320287e+18
