name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F062	f_F087	f_F106	f_F129	f_F158	f_F184	f_F146	f_F213
spectra_logzz_8.0_teff_1300.0_grav_31.0_mh_-1.0_co_0.5.nc	3.4913616938342726	1300.0	-1.0	0.5	8.0	chemeq	3.470632886721745e-09	L8	-26.157512243608636	-31.246017306591185	-32.60936400783946	-33.12138770292425	-32.957747097548264	-32.456902265337334	-32.685360307289855	-32.35653134882156
spectra_logzz_7.0_teff_1400.0_grav_178.0_mh_-1.0_co_1.5.nc	4.250420002308894	1400.0	-1.0	1.5	7.0	chemeq	2.9705395389429657e-09	L7	-27.08810362097449	-31.914836570503983	-33.15514722834628	-33.6621090129799	-33.3282484986717	-32.74554686859605	-33.14233292107829	-32.57261685989538
spectra_logzz_4.0_teff_1300.0_grav_100.0_mh_-1.0_co_2.5.nc	4.0	1300.0	-1.0	2.5	4.0	chemeq	3.1397255659430375e-09	L8	-26.531074504773123	-31.597316362011824	-32.804830208792566	-33.26838345896873	-32.90290563395047	-32.42432064573493	-32.78558296070667	-32.44368084760592
spectra_logzz_4.0_teff_1400.0_grav_562.0_mh_-1.0_co_0.5.nc	4.749736315569061	1400.0	-1.0	0.5	4.0	chemeq	2.4743030517003456e-09	L7	-27.036406951563578	-31.856939401612827	-33.02504891112697	-33.48634934413865	-33.265819733757496	-32.63761029402716	-33.02166116285627	-32.4984166300832
spectra_logzz_8.0_teff_1400.0_grav_1780.0_mh_-1.0_co_2.5.nc	5.250420002308894	1400.0	-1.0	2.5	8.0	chemeq	2.0074212206474514e-09	L7	-26.91842188248631	-31.781257623868978	-32.97734855907275	-33.4449686125209	-33.245314074004526	-32.57848058870095	-32.97715770641956	-32.37339055218726
spectra_logzz_8.0_teff_1400.0_grav_17.0_mh_-1.0_co_1.5.nc	3.230448921378274	1400.0	-1.0	1.5	8.0	chemeq	3.8164384138006714e-09	L7	-26.64073307655282	-31.53316602684581	-33.02144528566068	-33.589444745993006	-33.362719340631585	-32.92781629045093	-33.11045108516725	-32.75424919799116
spectra_logzz_4.0_teff_1300.0_grav_178.0_mh_-1.0_co_1.5.nc	4.250420002308894	1300.0	-1.0	1.5	4.0	chemeq	2.9209184263419345e-09	L8	-26.585522032334847	-31.617340315138037	-32.82913786801744	-33.29629014518777	-32.88387625303395	-32.338640519606486	-32.779542890868825	-32.27412359249361
spectra_logzz_8.0_teff_1300.0_grav_56.0_mh_-1.0_co_2.5.nc	3.7481880270062002	1300.0	-1.0	2.5	8.0	chemeq	3.3098126708935547e-09	L8	-26.086911722186265	-31.52040653982491	-32.800030797868146	-33.29804024602742	-32.96141674039763	-32.387635267747044	-32.797068726662324	-32.24258004222261
spectra_logzz_2.0_teff_1500.0_grav_178.0_mh_-1.0_co_1.0.nc	4.250420002308894	1500.0	-1.0	1.0	2.0	chemeq	3.0224160427679003e-09	L6	-27.804200097278578	-32.20033570620105	-33.422259091501914	-33.9322420138738	-33.6567207614706	-33.20769984423293	-33.44668472856164	-33.11759308683041
spectra_logzz_7.0_teff_1300.0_grav_562.0_mh_-1.0_co_0.5.nc	4.749736315569061	1300.0	-1.0	0.5	7.0	chemeq	2.4404705947293037e-09	L8	-26.14471964276762	-31.419989314024296	-32.643159537733894	-33.061227575582784	-32.86289141148454	-32.14625080798103	-32.61240430238844	-31.962219000413253
spectra_logzz_7.0_teff_1400.0_grav_100.0_mh_-1.0_co_2.5.nc	4.0	1400.0	-1.0	2.5	7.0	chemeq	3.2051365138172974e-09	L7	-26.92280881171668	-31.885357903231075	-33.13165471350083	-33.66182981994399	-33.356437072176305	-32.81037190216797	-33.15586028322972	-32.66822967529771
spectra_logzz_2.0_teff_1300.0_grav_1000.0_mh_-1.0_co_1.0.nc	5.0	1300.0	-1.0	1.0	2.0	chemeq	2.2059278882597377e-09	L8	-26.237531328132018	-31.436497205247004	-32.65435793069286	-33.06836452116329	-32.81222606464799	-32.1110876336885	-32.60214760209664	-31.967263436205528
spectra_logzz_7.0_teff_1500.0_grav_316.0_mh_-1.0_co_1.5.nc	4.4996870826184034	1500.0	-1.0	1.5	7.0	chemeq	2.760806481860966e-09	L6	-27.684287175788274	-32.21476786291099	-33.43757948771655	-33.96708922094935	-33.69104205252156	-33.11987046818672	-33.45553821833799	-32.94441076570433
spectra_logzz_4.0_teff_1300.0_grav_56.0_mh_-1.0_co_1.0.nc	3.7481880270062002	1300.0	-1.0	1.0	4.0	chemeq	3.3098126708935547e-09	L8	-26.407649483050115	-31.47780257209076	-32.78016318751187	-33.273808042792595	-32.9082095283897	-32.42634130173856	-32.774182269831414	-32.37676691720094
spectra_logzz_7.0_teff_1300.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	1300.0	-1.0	0.5	7.0	chemeq	2.2059278882597377e-09	L8	-26.08681121552433	-31.40490807810025	-32.642345481666354	-33.05075636054889	-32.823035970033494	-32.069675660017765	-32.587292663670944	-31.875253020516624
spectra_logzz_7.0_teff_1500.0_grav_562.0_mh_-1.0_co_2.5.nc	4.749736315569061	1500.0	-1.0	2.5	7.0	chemeq	2.510391312803249e-09	L6	-27.63169633120387	-32.20681464730408	-33.390158609390184	-33.95931328867455	-33.68795453736375	-33.08908365999038	-33.43987767524803	-32.89968594491271
spectra_logzz_4.0_teff_1500.0_grav_17.0_mh_-1.0_co_1.5.nc	3.230448921378274	1500.0	-1.0	1.5	4.0	chemeq	3.92258648322184e-09	L6	-27.287210978793667	-31.749717597585402	-33.222819830567836	-33.82282596250033	-33.5934542290779	-33.27853461689697	-33.35636701698414	-33.163058104372915
spectra_logzz_9.0_teff_1300.0_grav_56.0_mh_-1.0_co_2.5.nc	3.7481880270062002	1300.0	-1.0	2.5	9.0	chemeq	3.3098126708935547e-09	L8	-25.93595524615693	-31.512009618353304	-32.80382712641119	-33.312160902271344	-32.974851972932306	-32.365200261966336	-32.80109799320542	-32.18484763149039
spectra_logzz_4.0_teff_1300.0_grav_56.0_mh_-1.0_co_0.5.nc	3.7481880270062002	1300.0	-1.0	0.5	4.0	chemeq	3.3098126708935547e-09	L8	-26.425558060979988	-31.46073909500062	-32.75101767163405	-33.237358085921784	-32.94501169161012	-32.418987773224245	-32.758723513531486	-32.31558079372482
spectra_logzz_2.0_teff_1300.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	1300.0	-1.0	0.5	2.0	chemeq	2.2059278882597377e-09	L8	-26.110197881614084	-31.413506391430705	-32.64546352704116	-33.06064676103527	-32.81107856630883	-32.07169341398102	-32.58988253563808	-31.89215574985535
spectra_logzz_7.0_teff_1300.0_grav_17.0_mh_-1.0_co_2.5.nc	3.230448921378274	1300.0	-1.0	2.5	7.0	chemeq	3.710438355142462e-09	L8	-26.202848292216093	-31.405165600355996	-32.734982829424396	-33.255962835484276	-32.96068886027778	-32.49373358681068	-32.78868234063506	-32.44500691800491
spectra_logzz_8.0_teff_1300.0_grav_1000.0_mh_-1.0_co_1.5.nc	5.0	1300.0	-1.0	1.5	8.0	chemeq	2.2059278882597377e-09	L8	-26.18773891404678	-31.439379291795582	-32.66816325104927	-33.09317594666081	-32.85089510817511	-32.142557031517114	-32.62507993288191	-31.948360032716263
