name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F098M	f_F105W	f_F110W	f_F125W	f_F140W	f_F160W	f_F300X	f_F350LP	f_F435W	f_F475W	f_F475X	f_F555W	f_F600LP	f_F606W	f_F625W	f_F775W	f_F814W	f_F850LP
spectra_logzz_2.0_teff_275.0_grav_178.0_mh_0.0_co_2.5.nc	4.250420002308894	275.0	0.0	2.5	2.0	chemeq	2.393128738527869e-09	Y2	1.0382687291231901e+18	8.476353208139985e+17	1.4055255895277665e+18	1.6042006461657912e+18	2.282256041719875e+18	2.00142161784069e+18	nan	1.7713188329151914e+17	nan	nan	9435685893592296.0	924681665995366.4	3.175688456092031e+17	5.997120894132217e+16	6.14979209849995e+16	4.6018612193432237e+17	5.660240795290602e+17	9.443825249342739e+17
spectra_logzz_4.0_teff_300.0_grav_178.0_mh_0.0_co_0.5.nc	4.250420002308894	300.0	0.0	0.5	4.0	chemeq	2.4156837220956572e-09	Y2	7.97416231895364e+18	5.734295656947451e+18	7.61716910702783e+18	7.53729429067851e+18	1.0325462301783896e+19	1.0914323823637846e+19	nan	6.224087835234252e+17	nan	nan	1.0194138892462876e+16	990542746655093.1	1.1222311371038513e+18	6.557459233417239e+16	6.665505830602947e+16	7.71760607939031e+17	1.8514185830602511e+18	5.097804483759313e+18
spectra_logzz_2.0_teff_275.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	275.0	0.0	0.5	2.0	chemeq	2.1089165898386726e-09	Y2	3.981020600143306e+18	2.5221792450601416e+18	2.6975578516006185e+18	2.1409799691254116e+18	3.530466961964415e+18	5.124783957868637e+18	nan	5.139664383969285e+17	nan	nan	1.227977692536264e+16	1395758349934185.2	9.257508154504943e+17	7.501881344944539e+16	7.673876400735701e+16	6.929599672776288e+17	1.557904663445109e+18	3.907233425388884e+18
spectra_logzz_8.0_teff_300.0_grav_17.0_mh_0.0_co_1.0.nc	3.230448921378274	300.0	0.0	1.0	8.0	chemeq	2.722926711101284e-09	Y2	4.398047181955983e+18	3.6400053685250913e+18	6.422537252205379e+18	7.568776028754071e+18	9.812645526504788e+18	7.034662267272833e+18	nan	1.4570866127406186e+17	nan	nan	2718319855560457.0	271353472572581.38	2.6254877309256742e+17	1.8781474509670764e+16	1.8983857127073564e+16	2.743186299683589e+17	4.19512613301009e+17	1.1656079206531697e+18
spectra_logzz_7.0_teff_300.0_grav_3160.0_mh_0.0_co_2.5.nc	5.4996870826184034	300.0	0.0	2.5	7.0	chemeq	1.6292503727089521e-09	Y2	2.2315824144223535e+19	1.466819529673089e+19	1.7161462040779794e+19	1.5311602397627873e+19	2.3361533571485467e+19	2.3293625828523626e+19	nan	1.71310848544525e+18	nan	nan	3.7664241133936504e+16	4819650516188302.0	3.0927497848237937e+18	2.096144419637492e+17	2.1398923184252506e+17	2.2819860687967736e+18	4.679709175136109e+18	1.32248957460042e+19
spectra_logzz_9.0_teff_300.0_grav_17.0_mh_0.0_co_0.5.nc	3.230448921378274	300.0	0.0	0.5	9.0	chemeq	2.722926711101284e-09	Y2	4.778296086362804e+18	3.7502723305566024e+18	6.157750387734418e+18	6.993079688297199e+18	9.174367773584282e+18	7.483591819266932e+18	nan	1.9341686004059654e+17	nan	nan	2637216884375177.0	243161965404705.28	3.4874722128959226e+17	1.838618348162876e+16	1.8627307863565228e+16	2.8061329183018992e+17	5.622033917829579e+17	1.6399334776870308e+18
spectra_logzz_7.0_teff_275.0_grav_3160.0_mh_0.0_co_0.5.nc	5.4996870826184034	275.0	0.0	0.5	7.0	chemeq	1.6239322915300369e-09	Y2	6.906335667445244e+18	3.9763782850390897e+18	3.104980627400387e+18	1.3316058025873974e+18	2.6259800154958403e+18	4.600029926027109e+18	nan	8.188230042870509e+17	nan	nan	2.0868156076449776e+16	2701571941889589.0	1.476841654558267e+18	1.1982253150489224e+17	1.2228303795681536e+17	9.739355590675396e+17	2.2977435368015043e+18	6.195392542302686e+18
spectra_logzz_4.0_teff_275.0_grav_178.0_mh_0.0_co_0.5.nc	4.250420002308894	275.0	0.0	0.5	4.0	chemeq	2.393128738527869e-09	Y2	2.8018514979118054e+18	1.9377392788281994e+18	2.465880703413475e+18	2.335601065795206e+18	3.4537546653154386e+18	4.216046553217104e+18	nan	3.9331862135492454e+17	nan	nan	9533997115932864.0	931149072563576.2	7.076408230698836e+17	6.0686893539252e+16	6.213345926451271e+16	5.80199289572411e+17	1.253193140401801e+18	2.966134742848576e+18
spectra_logzz_4.0_teff_325.0_grav_3160.0_mh_0.0_co_1.5.nc	5.4996870826184034	325.0	0.0	1.5	4.0	chemeq	1.629333637009788e-09	Y2	4.164588709677441e+19	2.7590619982572286e+19	3.2354648539193004e+19	2.9126859220263506e+19	4.209510202819335e+19	4.2050616866083e+19	nan	2.7374276333587036e+18	nan	nan	4.255561775615494e+16	4863942138842228.0	4.948971024940868e+18	2.5574813741506176e+17	2.5948074892956992e+17	2.8973234993930076e+18	7.114864582060145e+18	2.2666048111797166e+19
spectra_logzz_2.0_teff_300.0_grav_562.0_mh_0.0_co_0.5.nc	4.749736315569061	300.0	0.0	0.5	2.0	chemeq	2.122449120988498e-09	Y2	1.044009612413526e+19	7.065735782437841e+18	8.406055603864582e+18	7.596308682266447e+18	1.092872848154063e+19	1.332407512538248e+19	nan	8.373361160014611e+17	nan	nan	1.379622998202849e+16	1944806007105388.8	1.511209912029845e+18	8.207890891149771e+16	8.36618620364615e+16	9.697900567953384e+17	2.3725912729283886e+18	6.820044043928632e+18
