name	logg	Teff	mh	cto	logkzz	PH3	Radius_pc	SpT	f_F070W	f_F090W	f_F115W	f_F150W	f_F200W	f_F277W	f_F300M	f_F356W	f_F410M	f_F444W	f_F480M
spectra_logzz_4.0_teff_300.0_grav_1780.0_mh_-1.0_co_0.5.nc	5.250420002308894	300.0	-1.0	0.5	4.0	chemeq	1.786382866538159e-09	Y2	9.394595752506109e+16	1.0825161529383772e+19	8.741929970220099e+17	4.581864256628536e+18	5.680018864452174e+16	1.1045267415543402e+19	3.1699400890034102e+19	1.2682197865734335e+21	4.416099063659629e+21	4.103587613297042e+21	3.068710551093749e+21
spectra_logzz_8.0_teff_325.0_grav_178.0_mh_-1.0_co_2.5.nc	4.250420002308894	325.0	-1.0	2.5	8.0	chemeq	2.4247059500110064e-09	Y2	9.634433582868366e+16	9.976058077501716e+18	5.954433183587719e+18	1.5095964942293438e+19	2.788470678537042e+17	1.775505408728356e+19	4.530663540267849e+19	3.919191501449392e+20	4.140267885075522e+21	5.51367768138963e+21	5.639357854524575e+21
spectra_logzz_9.0_teff_325.0_grav_1000.0_mh_-1.0_co_0.5.nc	5.0	325.0	-1.0	0.5	9.0	chemeq	1.9578173624816837e-09	Y2	1.2371236733061298e+17	1.307815317233968e+19	2.1910847359136374e+18	9.998299588142373e+18	1.8644275604004784e+17	1.5260294117041994e+19	4.3720651576912036e+19	1.696027819522787e+21	6.215787096530532e+21	5.856563560726681e+21	4.368474390491554e+21
spectra_logzz_7.0_teff_325.0_grav_3160.0_mh_-1.0_co_2.5.nc	5.4996870826184034	325.0	-1.0	2.5	7.0	chemeq	1.6371145985624411e-09	Y2	1.567931406849545e+17	2.3705348232657097e+19	3.0749449123951165e+18	1.5468143704144992e+19	2.0488581142951338e+17	2.733410120863982e+19	7.0579512584225096e+19	8.296971364654938e+20	5.39138596002004e+21	5.963081007227555e+21	5.186243711226267e+21
spectra_logzz_8.0_teff_300.0_grav_316.0_mh_-1.0_co_1.0.nc	4.4996870826184034	300.0	-1.0	1.0	8.0	chemeq	2.2713463694327747e-09	Y2	6.519476454374977e+16	7.568305737519098e+18	1.4207580514222656e+18	5.47199905913825e+18	9.314103897977403e+16	8.287774510943846e+18	2.277042996526493e+19	5.868564055798019e+20	3.744141347184288e+21	4.2482915978066626e+21	3.748425480202137e+21
spectra_logzz_4.0_teff_325.0_grav_178.0_mh_-1.0_co_1.0.nc	4.250420002308894	325.0	-1.0	1.0	4.0	chemeq	2.4247059500110064e-09	Y2	8.801603084497162e+16	9.62989871127402e+18	4.151474268703426e+18	1.2203569711945329e+19	2.7277637415712618e+17	1.4541250373488273e+19	3.92889996712878e+19	7.679769376142215e+20	4.942806442935849e+21	5.764013229211734e+21	5.348560695031085e+21
spectra_logzz_7.0_teff_325.0_grav_316.0_mh_-1.0_co_1.5.nc	4.4996870826184034	325.0	-1.0	1.5	7.0	chemeq	2.2848798353694526e-09	Y2	8.034618596933466e+16	1.1573367677436953e+19	4.25120619185909e+18	1.3698127571888482e+19	2.6646998937796512e+17	1.7092874552235809e+19	4.511273456622723e+19	6.701162021713309e+20	5.004782579180727e+21	5.985531965374708e+21	5.528967101550687e+21
spectra_logzz_9.0_teff_325.0_grav_56.0_mh_-1.0_co_1.0.nc	3.7481880270062002	325.0	-1.0	1.0	9.0	chemeq	2.612266159347838e-09	Y2	4.4049769535493704e+16	7.38163196327417e+18	5.47536125492007e+18	1.3255517559982825e+19	3.2798454370789523e+17	1.547435487370211e+19	4.081980141331762e+19	6.142895684528416e+20	4.638048387099782e+21	5.333408227315191e+21	4.958163436286005e+21
spectra_logzz_2.0_teff_300.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	300.0	-1.0	1.0	2.0	chemeq	2.686000108339325e-09	Y2	2.682655984868592e+16	2.1636617585982845e+18	1.601660405167295e+18	3.936176183898987e+18	1.0381184697927682e+17	6.3783613791434e+18	1.6950944737301834e+19	2.8502637450614594e+20	2.5537975812328847e+21	3.8708557672761524e+21	4.3997820072912036e+21
spectra_logzz_4.0_teff_300.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	300.0	-1.0	1.5	4.0	chemeq	2.1156823557096483e-09	Y2	9.279861010034595e+16	9.406714069153516e+18	1.4830066402788017e+18	6.196554656660652e+18	9.337066410182e+16	1.0098446771363314e+19	2.7001472086779625e+19	5.119420139781878e+20	3.7730294784292526e+21	4.454846828514639e+21	3.985633916855955e+21
spectra_logzz_4.0_teff_275.0_grav_316.0_mh_-1.0_co_0.5.nc	4.4996870826184034	275.0	-1.0	0.5	4.0	chemeq	2.257812869360622e-09	Y2	5.553204064514776e+16	4.4435080344041533e+18	4.5694266051305664e+17	1.9468292576017226e+18	3.2513731573045324e+16	3.7100525055177994e+18	1.0911484477893485e+19	6.064762527225009e+20	2.8914957133893007e+21	3.0735154335771745e+21	2.5484842187695e+21
spectra_logzz_9.0_teff_275.0_grav_316.0_mh_-1.0_co_2.5.nc	4.4996870826184034	275.0	-1.0	2.5	9.0	chemeq	2.257812869360622e-09	Y2	5.991923454238915e+16	4.0925700172569677e+18	6.483462072522204e+17	2.7015198603960566e+18	2.7309685788522304e+16	4.527898333888254e+18	1.1960553898563308e+19	1.7026936442322308e+20	2.058261362762205e+21	2.8648544987267727e+21	2.857975199632914e+21
spectra_logzz_9.0_teff_300.0_grav_316.0_mh_-1.0_co_0.5.nc	4.4996870826184034	300.0	-1.0	0.5	9.0	chemeq	2.2713463694327747e-09	Y2	6.246338042074709e+16	7.363493719367785e+18	1.163039596346247e+18	4.891261173524437e+18	9.384663494832968e+16	7.361138482842623e+18	2.131105001298185e+19	9.465398954728207e+20	4.28854839910793e+21	4.3858437306267473e+21	3.517716971997106e+21
spectra_logzz_7.0_teff_325.0_grav_562.0_mh_-1.0_co_2.5.nc	4.749736315569061	325.0	-1.0	2.5	7.0	chemeq	2.126959626925858e-09	Y2	1.0523825297109058e+17	1.5744553309670423e+19	4.562144945195426e+18	1.509124460875307e+19	2.330670836999947e+17	1.9264949894616568e+19	4.96091930453727e+19	4.950274868430751e+20	4.5748830754380694e+21	5.808265888461241e+21	5.533226013097735e+21
spectra_logzz_2.0_teff_275.0_grav_17.0_mh_-1.0_co_1.0.nc	3.230448921378274	275.0	-1.0	1.0	2.0	chemeq	2.647292748434921e-09	Y2	1.9045289884599036e+16	8.846146148454976e+17	4.590699881348196e+17	1.5332195402179674e+18	3.1123422568368036e+16	2.7503554057322685e+18	7.554687559433358e+18	1.7157048548865697e+20	1.7065520921308202e+21	2.718445732465949e+21	3.1228236873598475e+21
spectra_logzz_4.0_teff_300.0_grav_316.0_mh_-1.0_co_2.5.nc	4.4996870826184034	300.0	-1.0	2.5	4.0	chemeq	2.2713463694327747e-09	Y2	6.749985909867756e+16	7.183483474790996e+18	1.8238659460629975e+18	6.513637110251553e+18	8.579139867293856e+16	9.189129449850474e+18	2.3935557542963114e+19	2.7754836578691665e+20	3.0504318858455134e+21	4.2911885601068333e+21	4.3572858798781524e+21
spectra_logzz_9.0_teff_275.0_grav_562.0_mh_-1.0_co_1.5.nc	4.749736315569061	275.0	-1.0	1.5	9.0	chemeq	2.1066605177302343e-09	Y2	8.1209353393121e+16	5.032816004160487e+18	5.39384955808419e+17	2.3505170873922883e+18	2.924820779454798e+16	4.594213203746047e+18	1.2471419705238364e+19	3.166379623687606e+20	2.4709627489970673e+21	2.968590448378361e+21	2.6834465437182685e+21
